time,amplitude,alpha_power,beta_power,command,led_state
4.0312,-141.2213,0.0000,1.0000,FOCUS,1
4.0625,206.0000,0.0000,1.0000,FOCUS,1
4.0938,-132.3214,0.0000,1.0000,FOCUS,1
4.1250,4.3001,0.0000,1.0000,FOCUS,1
4.1562,147.0214,0.0000,1.0000,FOCUS,1
4.1875,-197.4000,0.0000,1.0000,FOCUS,1
4.2188,150.4214,0.0000,1.0000,FOCUS,1
4.2500,5.0999,0.0000,1.0000,FOCUS,1
4.2812,-132.8215,0.0000,1.0000,FOCUS,1
4.3125,202.7000,0.0000,1.0000,FOCUS,1
4.3438,-131.7213,0.0000,1.0000,FOCUS,1
4.3750,5.4000,0.0000,1.0000,FOCUS,1
4.4062,145.5213,0.0000,1.0000,FOCUS,1
4.4375,-197.4000,0.0000,1.0000,FOCUS,1
4.4688,143.1215,0.0000,1.0000,FOCUS,1
4.5000,8.6998,0.0000,1.0000,FOCUS,1
4.5312,-136.7212,0.0000,1.0000,FOCUS,1
4.5625,209.9000,0.0000,1.0000,FOCUS,1
4.5938,-131.7216,0.0000,1.0000,FOCUS,1
4.6250,6.5997,0.0000,1.0000,FOCUS,1
4.6562,149.2210,0.0000,1.0000,FOCUS,1
4.6875,-196.6000,0.0000,1.0000,FOCUS,1
4.7188,148.3218,0.0000,1.0000,FOCUS,1
4.7500,8.4000,0.0000,1.0000,FOCUS,1
4.7812,-139.6219,0.0000,1.0000,FOCUS,1
4.8125,209.6000,0.0000,1.0000,FOCUS,1
4.8438,-141.2209,0.0000,1.0000,FOCUS,1
4.8750,7.9002,0.0000,1.0000,FOCUS,1
4.9062,150.7217,0.0000,1.0000,FOCUS,1
4.9375,-193.6000,0.0000,1.0000,FOCUS,1
4.9688,149.6211,0.0000,1.0000,FOCUS,1
5.0000,0.2000,0.0000,1.0000,RELAX,0
5.0312,-136.9213,0.0000,1.0000,RELAX,0
5.0625,205.8000,0.0000,1.0000,RELAX,0
5.0938,-134.2214,0.0000,1.0000,RELAX,0
5.1250,7.8001,0.0000,1.0000,RELAX,0
5.1562,144.0214,0.0000,1.0000,RELAX,0
5.1875,-195.3000,0.0000,1.0000,RELAX,0
5.2188,149.1214,0.0000,1.0000,RELAX,0
5.2500,4.8999,0.0000,1.0000,RELAX,0
5.2812,-138.4215,0.0000,1.0000,RELAX,0
5.3125,207.4000,0.0000,1.0000,RELAX,0
5.3438,-136.3213,0.0000,1.0000,RELAX,0
5.3750,9.8000,0.0000,1.0000,RELAX,0
5.4062,151.3213,0.0000,1.0000,RELAX,0
5.4375,-197.3000,0.0000,1.0000,RELAX,0
5.4688,150.3215,0.0000,1.0000,RELAX,0
5.5000,8.4998,0.0000,1.0000,RELAX,0
5.5312,-136.2212,0.0000,1.0000,RELAX,0
5.5625,201.0000,0.0000,1.0000,RELAX,0
5.5938,-134.7216,0.0000,1.0000,RELAX,0
5.6250,8.6997,0.0000,1.0000,RELAX,0
5.6562,146.8210,0.0000,1.0000,RELAX,0
5.6875,-196.4000,0.0000,1.0000,RELAX,0
5.7188,145.2218,0.0000,1.0000,RELAX,0
5.7500,1.9000,0.0000,1.0000,RELAX,0
5.7812,-137.0219,0.0000,1.0000,RELAX,0
5.8125,206.0000,0.0000,1.0000,RELAX,0
5.8438,-134.9209,0.0000,1.0000,RELAX,0
5.8750,1.3002,0.0000,1.0000,RELAX,0
5.9062,146.0217,0.0000,1.0000,RELAX,0
5.9375,-198.1000,0.0000,1.0000,RELAX,0
5.9688,143.8211,0.0000,1.0000,RELAX,0
6.0000,4.2000,0.0000,1.0000,FOCUS,1
6.0312,-132.5213,0.0000,1.0000,FOCUS,1
6.0625,206.0000,0.0000,1.0000,FOCUS,1
6.0938,-141.0214,0.0000,1.0000,FOCUS,1
6.1250,9.3001,0.0000,1.0000,FOCUS,1
6.1562,142.9214,0.0000,1.0000,FOCUS,1
6.1875,-196.1000,0.0000,1.0000,FOCUS,1
6.2188,145.0214,0.0000,1.0000,FOCUS,1
6.2500,2.9999,0.0000,1.0000,FOCUS,1
6.2812,-140.0215,0.0000,1.0000,FOCUS,1
6.3125,209.6000,0.0000,1.0000,FOCUS,1
6.3438,-131.8213,0.0000,1.0000,FOCUS,1
6.3750,6.2000,0.0000,1.0000,FOCUS,1
6.4062,150.0213,0.0000,1.0000,FOCUS,1
6.4375,-192.4000,0.0000,1.0000,FOCUS,1
6.4688,145.5215,0.0000,1.0000,FOCUS,1
6.5000,0.7998,0.0000,1.0000,FOCUS,1
6.5312,-140.8212,0.0000,1.0000,FOCUS,1
6.5625,207.4000,0.0000,1.0000,FOCUS,1
6.5938,-134.4216,0.0000,1.0000,FOCUS,1
6.6250,6.7997,0.0000,1.0000,FOCUS,1
6.6562,144.4210,0.0000,1.0000,FOCUS,1
6.6875,-197.3000,0.0000,1.0000,FOCUS,1
6.7188,147.3218,0.0000,1.0000,FOCUS,1
6.7500,1.9000,0.0000,1.0000,FOCUS,1
6.7812,-138.8219,0.0000,1.0000,FOCUS,1
6.8125,204.9000,0.0000,1.0000,FOCUS,1
6.8438,-141.4209,0.0000,1.0000,FOCUS,1
6.8750,4.7002,0.0000,1.0000,FOCUS,1
6.9062,142.1217,0.0000,1.0000,FOCUS,1
6.9375,-199.8000,0.0000,1.0000,FOCUS,1
6.9688,144.0211,0.0000,1.0000,FOCUS,1
7.0000,5.5000,0.0000,1.0000,FOCUS,1
7.0312,-132.2213,0.0000,1.0000,FOCUS,1
7.0625,202.6000,0.0000,1.0000,FOCUS,1
7.0938,-139.8214,0.0000,1.0000,FOCUS,1
7.1250,1.6001,0.0000,1.0000,FOCUS,1
7.1562,146.7214,0.0000,1.0000,FOCUS,1
7.1875,-193.3000,0.0000,1.0000,FOCUS,1
7.2188,150.9214,0.0000,1.0000,FOCUS,1
7.2500,5.5999,0.0000,1.0000,FOCUS,1
7.2812,-137.9215,0.0000,1.0000,FOCUS,1
7.3125,209.1000,0.0000,1.0000,FOCUS,1
7.3438,-138.4213,0.0000,1.0000,FOCUS,1
7.3750,4.2000,0.0000,1.0000,FOCUS,1
7.4062,147.5213,0.0000,1.0000,FOCUS,1
7.4375,-199.9000,0.0000,1.0000,FOCUS,1
7.4688,141.5215,0.0000,1.0000,FOCUS,1
7.5000,4.9998,0.0000,1.0000,FOCUS,1
7.5312,-137.9212,0.0000,1.0000,FOCUS,1
7.5625,205.0000,0.0000,1.0000,FOCUS,1
7.5938,-141.4216,0.0000,1.0000,FOCUS,1
7.6250,7.2997,0.0000,1.0000,FOCUS,1
7.6562,145.1210,0.0000,1.0000,FOCUS,1
7.6875,-196.7000,0.0000,1.0000,FOCUS,1
7.7188,151.0218,0.0000,1.0000,FOCUS,1
7.7500,7.8000,0.0000,1.0000,FOCUS,1
7.7812,-132.2219,0.0000,1.0000,FOCUS,1
7.8125,205.8000,0.0000,1.0000,FOCUS,1
7.8438,-134.2209,0.0000,1.0000,FOCUS,1
7.8750,1.4002,0.0000,1.0000,FOCUS,1
7.9062,148.5217,0.0000,1.0000,FOCUS,1
7.9375,-199.0000,0.0000,1.0000,FOCUS,1
7.9688,149.8211,0.0000,1.0000,FOCUS,1
8.0000,6.7000,0.0000,1.0000,FOCUS,1
8.0312,-135.9213,0.0000,1.0000,FOCUS,1
8.0625,201.9000,0.0000,1.0000,FOCUS,1
8.0938,-140.9214,0.0000,1.0000,FOCUS,1
8.1250,4.3001,0.0000,1.0000,FOCUS,1
8.1562,141.7214,0.0000,1.0000,FOCUS,1
8.1875,-197.2000,0.0000,1.0000,FOCUS,1
8.2188,146.4214,0.0000,1.0000,FOCUS,1
8.2500,5.6999,0.0000,1.0000,FOCUS,1
8.2812,-132.7215,0.0000,1.0000,FOCUS,1
8.3125,205.4000,0.0000,1.0000,FOCUS,1
8.3438,-133.5213,0.0000,1.0000,FOCUS,1
8.3750,6.6000,0.0000,1.0000,FOCUS,1
8.4062,146.9213,0.0000,1.0000,FOCUS,1
8.4375,-196.9000,0.0000,1.0000,FOCUS,1
8.4688,147.9215,0.0000,1.0000,FOCUS,1
8.5000,4.0998,0.0000,1.0000,FOCUS,1
8.5312,-141.0212,0.0000,1.0000,FOCUS,1
8.5625,200.2000,0.0000,1.0000,FOCUS,1
8.5938,-136.0217,0.0000,1.0000,FOCUS,1
8.6250,2.9997,0.0000,1.0000,FOCUS,1
8.6562,145.1210,0.0000,1.0000,FOCUS,1
8.6875,-198.1000,0.0000,1.0000,FOCUS,1
8.7188,145.9218,0.0000,1.0000,FOCUS,1
8.7500,9.4000,0.0000,1.0000,FOCUS,1
8.7812,-137.6219,0.0000,1.0000,FOCUS,1
8.8125,208.3000,0.0000,1.0000,FOCUS,1
8.8438,-140.7209,0.0000,1.0000,FOCUS,1
8.8750,0.4002,0.0000,1.0000,FOCUS,1
8.9062,145.0217,0.0000,1.0000,FOCUS,1
8.9375,-196.3000,0.0000,1.0000,FOCUS,1
8.9688,150.8211,0.0000,1.0000,FOCUS,1
9.0000,7.6000,0.0000,1.0000,RELAX,0
9.0312,-134.4213,0.0000,1.0000,RELAX,0
9.0625,206.9000,0.0000,1.0000,RELAX,0
9.0938,-138.1214,0.0000,1.0000,RELAX,0
9.1250,3.8001,0.0000,1.0000,RELAX,0
9.1562,150.6214,0.0000,1.0000,RELAX,0
9.1875,-192.0000,0.0000,1.0000,RELAX,0
9.2188,147.9214,0.0000,1.0000,RELAX,0
9.2500,9.4999,0.0000,1.0000,RELAX,0
9.2812,-131.5215,0.0000,1.0000,RELAX,0
9.3125,208.1000,0.0000,1.0000,RELAX,0
9.3438,-140.6213,0.0000,1.0000,RELAX,0
9.3750,9.8000,0.0000,1.0000,RELAX,0
9.4062,151.2213,0.0000,1.0000,RELAX,0
9.4375,-197.2000,0.0000,1.0000,RELAX,0
9.4688,147.4215,0.0000,1.0000,RELAX,0
9.5000,7.4998,0.0000,1.0000,RELAX,0
9.5312,-137.3212,0.0000,1.0000,RELAX,0
9.5625,205.8000,0.0000,1.0000,RELAX,0
9.5938,-138.5217,0.0000,1.0000,RELAX,0
9.6250,3.4997,0.0000,1.0000,RELAX,0
9.6562,143.9210,0.0000,1.0000,RELAX,0
9.6875,-195.5000,0.0000,1.0000,RELAX,0
9.7188,148.0218,0.0000,1.0000,RELAX,0
9.7500,6.1000,0.0000,1.0000,RELAX,0
9.7812,-132.1219,0.0000,1.0000,RELAX,0
9.8125,202.0000,0.0000,1.0000,RELAX,0
9.8438,-134.3209,0.0000,1.0000,RELAX,0
9.8750,1.8002,0.0000,1.0000,RELAX,0
9.9062,151.1217,0.0000,1.0000,RELAX,0
9.9375,-198.8000,0.0000,1.0000,RELAX,0
9.9688,149.8211,0.0000,1.0000,RELAX,0
10.0000,4.4000,1.0000,0.0000,FOCUS,1
10.0312,191.6759,1.0000,0.0000,FOCUS,1
10.0625,-134.3213,1.0000,0.0000,FOCUS,1
10.0938,-70.3367,1.0000,0.0000,FOCUS,1
10.1250,206.1000,1.0000,0.0000,FOCUS,1
10.1562,-67.9367,1.0000,0.0000,FOCUS,1
10.1875,-132.6214,1.0000,0.0000,FOCUS,1
10.2188,191.5759,1.0000,0.0000,FOCUS,1
10.2500,3.3001,1.0000,0.0000,FOCUS,1
10.2812,-181.2759,1.0000,0.0000,FOCUS,1
10.3125,148.2214,1.0000,0.0000,FOCUS,1
10.3438,77.9367,1.0000,0.0000,FOCUS,1
10.3750,-193.4000,1.0000,0.0000,FOCUS,1
10.4062,85.0367,1.0000,0.0000,FOCUS,1
10.4375,150.3214,1.0000,0.0000,FOCUS,1
10.4688,-179.5759,1.0000,0.0000,FOCUS,1
10.5000,1.7999,1.0000,0.0000,FOCUS,1
10.5312,192.1759,1.0000,0.0000,FOCUS,1
10.5625,-140.1215,1.0000,0.0000,FOCUS,1
10.5938,-74.6369,1.0000,0.0000,FOCUS,1
10.6250,208.4000,1.0000,0.0000,FOCUS,1
10.6562,-66.9364,1.0000,0.0000,FOCUS,1
10.6875,-137.0213,1.0000,0.0000,FOCUS,1
10.7188,193.7758,1.0000,0.0000,FOCUS,1
10.7500,7.7000,1.0000,0.0000,FOCUS,1
10.7812,-179.6758,1.0000,0.0000,FOCUS,1
10.8125,151.0213,1.0000,0.0000,FOCUS,1
10.8438,85.5364,1.0000,0.0000,FOCUS,1
10.8750,-198.4000,1.0000,0.0000,FOCUS,1
10.9062,84.6369,1.0000,0.0000,FOCUS,1
10.9375,144.5215,1.0000,0.0000,FOCUS,1
10.9688,-176.1760,1.0000,0.0000,FOCUS,1
11.0000,3.3000,1.0000,0.0000,FOCUS,1
11.0312,185.9759,1.0000,0.0000,FOCUS,1
11.0625,-132.5213,1.0000,0.0000,FOCUS,1
11.0938,-71.1367,1.0000,0.0000,FOCUS,1
11.1250,207.6000,1.0000,0.0000,FOCUS,1
11.1562,-75.3367,1.0000,0.0000,FOCUS,1
11.1875,-139.8214,1.0000,0.0000,FOCUS,1
11.2188,190.1759,1.0000,0.0000,FOCUS,1
11.2500,9.8001,1.0000,0.0000,FOCUS,1
11.2812,-175.6759,1.0000,0.0000,FOCUS,1
11.3125,142.4214,1.0000,0.0000,FOCUS,1
11.3438,82.0367,1.0000,0.0000,FOCUS,1
11.3750,-196.6000,1.0000,0.0000,FOCUS,1
11.4062,80.8367,1.0000,0.0000,FOCUS,1
11.4375,145.7214,1.0000,0.0000,FOCUS,1
11.4688,-181.1759,1.0000,0.0000,FOCUS,1
11.5000,2.8999,1.0000,0.0000,FOCUS,1
11.5312,188.2760,1.0000,0.0000,FOCUS,1
11.5625,-134.9215,1.0000,0.0000,FOCUS,1
11.5938,-74.3369,1.0000,0.0000,FOCUS,1
11.6250,207.3000,1.0000,0.0000,FOCUS,1
11.6562,-74.9364,1.0000,0.0000,FOCUS,1
11.6875,-137.2213,1.0000,0.0000,FOCUS,1
11.7188,189.4758,1.0000,0.0000,FOCUS,1
11.7500,-0.0000,1.0000,0.0000,FOCUS,1
11.7812,-177.0758,1.0000,0.0000,FOCUS,1
11.8125,149.1213,1.0000,0.0000,FOCUS,1
11.8438,79.4364,1.0000,0.0000,FOCUS,1
11.8750,-197.4000,1.0000,0.0000,FOCUS,1
11.9062,81.9369,1.0000,0.0000,FOCUS,1
11.9375,147.3215,1.0000,0.0000,FOCUS,1
11.9688,-175.5760,1.0000,0.0000,FOCUS,1
12.0000,7.3000,0.9999,0.0001,RELAX,0
12.0312,191.1759,0.9999,0.0001,RELAX,0
12.0625,-133.1213,0.9999,0.0001,RELAX,0
12.0938,-75.9367,0.9999,0.0001,RELAX,0
12.1250,201.1000,0.9999,0.0001,RELAX,0
12.1562,-70.0367,0.9999,0.0001,RELAX,0
12.1875,-138.9214,0.9999,0.0001,RELAX,0
12.2188,186.8759,0.9999,0.0001,RELAX,0
12.2500,5.6001,0.9999,0.0001,RELAX,0
12.2812,-175.2759,0.9999,0.0001,RELAX,0
12.3125,145.1214,0.9999,0.0001,RELAX,0
12.3438,83.0367,0.9999,0.0001,RELAX,0
12.3750,-193.8000,0.9999,0.0001,RELAX,0
12.4062,83.5367,0.9999,0.0001,RELAX,0
12.4375,149.8214,0.9999,0.0001,RELAX,0
12.4688,-180.7759,0.9999,0.0001,RELAX,0
12.5000,7.0999,0.9999,0.0001,RELAX,0
12.5312,193.2760,0.9999,0.0001,RELAX,0
12.5625,-133.7215,0.9999,0.0001,RELAX,0
12.5938,-70.1369,0.9999,0.0001,RELAX,0
12.6250,203.0000,0.9999,0.0001,RELAX,0
12.6562,-75.3364,0.9999,0.0001,RELAX,0
12.6875,-134.6213,0.9999,0.0001,RELAX,0
12.7188,187.9758,0.9999,0.0001,RELAX,0
12.7500,3.2000,0.9999,0.0001,RELAX,0
12.7812,-174.8758,0.9999,0.0001,RELAX,0
12.8125,147.2213,0.9999,0.0001,RELAX,0
12.8438,81.4364,0.9999,0.0001,RELAX,0
12.8750,-192.0000,0.9999,0.0001,RELAX,0
12.9062,77.6369,0.9999,0.0001,RELAX,0
12.9375,143.6215,0.9999,0.0001,RELAX,0
12.9688,-181.3760,0.9999,0.0001,RELAX,0
13.0000,9.4000,0.9999,0.0001,RELAX,0
13.0312,186.6759,0.9999,0.0001,RELAX,0
13.0625,-133.0213,0.9999,0.0001,RELAX,0
13.0938,-75.0367,0.9999,0.0001,RELAX,0
13.1250,209.8000,0.9999,0.0001,RELAX,0
13.1562,-69.0367,0.9999,0.0001,RELAX,0
13.1875,-133.7214,0.9999,0.0001,RELAX,0
13.2188,191.1759,0.9999,0.0001,RELAX,0
13.2500,3.3001,0.9999,0.0001,RELAX,0
13.2812,-180.3759,0.9999,0.0001,RELAX,0
13.3125,145.8214,0.9999,0.0001,RELAX,0
13.3438,83.5367,0.9999,0.0001,RELAX,0
13.3750,-191.8000,0.9999,0.0001,RELAX,0
13.4062,79.4367,0.9999,0.0001,RELAX,0
13.4375,149.1214,0.9999,0.0001,RELAX,0
13.4688,-178.7759,0.9999,0.0001,RELAX,0
13.5000,4.1999,0.9999,0.0001,RELAX,0
13.5312,193.3760,0.9999,0.0001,RELAX,0
13.5625,-140.5215,0.9999,0.0001,RELAX,0
13.5938,-75.4369,0.9999,0.0001,RELAX,0
13.6250,205.1000,0.9999,0.0001,RELAX,0
13.6562,-75.4364,0.9999,0.0001,RELAX,0
13.6875,-132.7213,0.9999,0.0001,RELAX,0
13.7188,192.0758,0.9999,0.0001,RELAX,0
13.7500,6.3000,0.9999,0.0001,RELAX,0
13.7812,-183.4758,0.9999,0.0001,RELAX,0
13.8125,148.1213,0.9999,0.0001,RELAX,0
13.8438,84.5364,0.9999,0.0001,RELAX,0
13.8750,-199.4000,0.9999,0.0001,RELAX,0
13.9062,84.4369,0.9999,0.0001,RELAX,0
13.9375,143.1215,0.9999,0.0001,RELAX,0
13.9688,-180.7760,0.9999,0.0001,RELAX,0
14.0000,2.2000,0.9999,0.0001,FOCUS,1
14.0312,192.1759,0.9999,0.0001,FOCUS,1
14.0625,-136.0213,0.9999,0.0001,FOCUS,1
14.0938,-72.6367,0.9999,0.0001,FOCUS,1
14.1250,202.9000,0.9999,0.0001,FOCUS,1
14.1562,-69.2367,0.9999,0.0001,FOCUS,1
14.1875,-141.3214,0.9999,0.0001,FOCUS,1
14.2188,192.6759,0.9999,0.0001,FOCUS,1
14.2500,2.7001,0.9999,0.0001,FOCUS,1
14.2812,-181.5759,0.9999,0.0001,FOCUS,1
14.3125,150.9214,0.9999,0.0001,FOCUS,1
14.3438,83.2366,0.9999,0.0001,FOCUS,1
14.3750,-197.8000,0.9999,0.0001,FOCUS,1
14.4062,78.0367,0.9999,0.0001,FOCUS,1
14.4375,149.6214,0.9999,0.0001,FOCUS,1
14.4688,-175.5759,0.9999,0.0001,FOCUS,1
14.5000,3.5999,0.9999,0.0001,FOCUS,1
14.5312,188.2760,0.9999,0.0001,FOCUS,1
14.5625,-139.0215,0.9999,0.0001,FOCUS,1
14.5938,-67.6369,0.9999,0.0001,FOCUS,1
14.6250,200.0000,0.9999,0.0001,FOCUS,1
14.6562,-68.6364,0.9999,0.0001,FOCUS,1
14.6875,-138.9213,0.9999,0.0001,FOCUS,1
14.7188,188.1758,0.9999,0.0001,FOCUS,1
14.7500,2.7000,0.9999,0.0001,FOCUS,1
14.7812,-176.4758,0.9999,0.0001,FOCUS,1
14.8125,141.4213,0.9999,0.0001,FOCUS,1
14.8438,84.9364,0.9999,0.0001,FOCUS,1
14.8750,-200.0000,0.9999,0.0001,FOCUS,1
14.9062,82.1369,0.9999,0.0001,FOCUS,1
14.9375,142.3215,0.9999,0.0001,FOCUS,1
14.9688,-184.2760,0.9999,0.0001,FOCUS,1
15.0000,5.5000,0.9999,0.0001,FOCUS,1
15.0312,190.4759,0.9999,0.0001,FOCUS,1
15.0625,-135.8213,0.9999,0.0001,FOCUS,1
15.0938,-68.5367,0.9999,0.0001,FOCUS,1
15.1250,203.6000,0.9999,0.0001,FOCUS,1
15.1562,-74.7367,0.9999,0.0001,FOCUS,1
15.1875,-135.2214,0.9999,0.0001,FOCUS,1
15.2188,194.1759,0.9999,0.0001,FOCUS,1
15.2500,3.2001,0.9999,0.0001,FOCUS,1
15.2812,-175.9759,0.9999,0.0001,FOCUS,1
15.3125,143.1214,0.9999,0.0001,FOCUS,1
15.3438,85.0367,0.9999,0.0001,FOCUS,1
15.3750,-199.0000,0.9999,0.0001,FOCUS,1
15.4062,85.5367,0.9999,0.0001,FOCUS,1
15.4375,144.6214,0.9999,0.0001,FOCUS,1
15.4688,-184.7759,0.9999,0.0001,FOCUS,1
15.5000,8.2999,0.9999,0.0001,FOCUS,1
15.5312,190.7760,0.9999,0.0001,FOCUS,1
