time,amplitude,theta_power,alpha_power,beta_power,gamma_power,command,visual_impairment
0.148,-14.33,0.14,0.5,0.27,0.09,NONE,NORMAL
0.152,-17.13,0.14,0.5,0.27,0.09,NONE,NORMAL
0.156,-1.73,0.14,0.5,0.27,0.09,NONE,NORMAL
0.16,8.28,0.14,0.5,0.27,0.09,NONE,NORMAL
0.164,12.78,0.14,0.5,0.27,0.09,NONE,NORMAL
0.168,26.01,0.14,0.5,0.27,0.09,NONE,NORMAL
0.172,26.4,0.14,0.5,0.27,0.09,NONE,NORMAL
0.176,31.42,0.14,0.5,0.27,0.09,NONE,NORMAL
0.18,31.88,0.14,0.5,0.27,0.09,NONE,NORMAL
0.184,21.75,0.14,0.5,0.27,0.09,NONE,NORMAL
0.188,39.96,0.14,0.5,0.27,0.09,NONE,NORMAL
0.191,30.12,0.14,0.5,0.27,0.09,NONE,NORMAL
0.195,34.95,0.14,0.5,0.27,0.09,NONE,NORMAL
0.199,22.6,0.14,0.5,0.27,0.09,NONE,NORMAL
0.203,19.4,0.14,0.5,0.27,0.09,NONE,NORMAL
0.207,21.26,0.14,0.5,0.27,0.09,NONE,NORMAL
0.211,2.42,0.14,0.5,0.27,0.09,NONE,NORMAL
0.215,2.94,0.14,0.5,0.27,0.09,NONE,NORMAL
0.219,2.94,0.14,0.5,0.27,0.09,NONE,NORMAL
0.223,2.7,0.14,0.5,0.27,0.09,NONE,NORMAL
0.227,-13.56,0.14,0.5,0.27,0.09,NONE,NORMAL
0.23,-7.06,0.14,0.5,0.27,0.09,NONE,NORMAL
0.234,-13.21,0.14,0.5,0.27,0.09,NONE,NORMAL
0.238,-5.14,0.14,0.5,0.27,0.09,NONE,NORMAL
0.242,-2.45,0.14,0.5,0.27,0.09,NONE,NORMAL
0.246,-6.58,0.14,0.5,0.27,0.09,NONE,NORMAL
0.25,-3.66,0.14,0.5,0.27,0.09,NONE,NORMAL
0.254,-7.16,0.14,0.5,0.27,0.09,NONE,NORMAL
0.258,2.25,0.14,0.5,0.27,0.09,NONE,NORMAL
0.262,3.94,0.14,0.5,0.27,0.09,NONE,NORMAL
0.266,-0.39,0.14,0.5,0.27,0.09,NONE,NORMAL
0.27,-0.08,0.14,0.5,0.27,0.09,NONE,NORMAL
0.273,6.74,0.14,0.5,0.27,0.09,NONE,NORMAL
0.277,-6.18,0.14,0.5,0.27,0.09,NONE,NORMAL
0.281,-2.12,0.14,0.5,0.27,0.09,NONE,NORMAL
0.285,-12.57,0.14,0.5,0.27,0.09,NONE,NORMAL
0.289,-15.8,0.14,0.5,0.27,0.09,NONE,NORMAL
0.293,-24.91,0.14,0.5,0.27,0.09,NONE,NORMAL
0.297,-22.89,0.14,0.5,0.27,0.09,NONE,NORMAL
0.301,-24.38,0.14,0.5,0.27,0.09,NONE,NORMAL
0.305,-33.3,0.14,0.5,0.27,0.09,NONE,NORMAL
0.309,-37.53,0.14,0.5,0.27,0.09,NONE,NORMAL
0.312,-29.52,0.14,0.5,0.27,0.09,NONE,NORMAL
0.316,-22.43,0.14,0.5,0.27,0.09,NONE,NORMAL
0.32,-28.85,0.14,0.5,0.27,0.09,NONE,NORMAL
0.324,-12.9,0.14,0.5,0.27,0.09,NONE,NORMAL
0.328,-12.37,0.14,0.5,0.27,0.09,NONE,NORMAL
0.332,-11.64,0.14,0.5,0.27,0.09,NONE,NORMAL
0.336,3.23,0.14,0.5,0.27,0.09,NONE,NORMAL
0.34,23.97,0.14,0.5,0.27,0.09,NONE,NORMAL
0.344,11.73,0.14,0.5,0.27,0.09,NONE,NORMAL
0.348,36.27,0.14,0.5,0.27,0.09,NONE,NORMAL
0.352,41.04,0.14,0.5,0.27,0.09,NONE,NORMAL
0.355,36.81,0.14,0.5,0.27,0.09,NONE,NORMAL
0.359,48.25,0.14,0.5,0.27,0.09,NONE,NORMAL
0.363,50.57,0.14,0.5,0.27,0.09,NONE,NORMAL
0.367,56.77,0.14,0.5,0.27,0.09,NONE,NORMAL
0.371,65.32,0.14,0.5,0.27,0.09,NONE,NORMAL
0.375,54.56,0.14,0.5,0.27,0.09,NONE,NORMAL
0.379,53.88,0.14,0.5,0.27,0.09,NONE,NORMAL
0.383,55.66,0.14,0.5,0.27,0.09,NONE,NORMAL
0.387,49.61,0.14,0.5,0.27,0.09,NONE,NORMAL
0.391,43.12,0.14,0.5,0.27,0.09,NONE,NORMAL
0.395,34.23,0.14,0.5,0.27,0.09,NONE,NORMAL
0.398,34.12,0.14,0.5,0.27,0.09,NONE,NORMAL
0.402,23.46,0.14,0.5,0.27,0.09,NONE,NORMAL
0.406,18.2,0.14,0.5,0.27,0.09,NONE,NORMAL
0.41,15.76,0.14,0.5,0.27,0.09,NONE,NORMAL
0.414,-5.83,0.14,0.5,0.27,0.09,NONE,NORMAL
0.418,-14.14,0.14,0.5,0.27,0.09,NONE,NORMAL
0.422,-20.61,0.14,0.5,0.27,0.09,NONE,NORMAL
0.426,-30.08,0.14,0.5,0.27,0.09,NONE,NORMAL
0.43,-43.89,0.14,0.5,0.27,0.09,NONE,NORMAL
0.434,-60.08,0.14,0.5,0.27,0.09,NONE,NORMAL
0.438,-73.26,0.14,0.5,0.27,0.09,NONE,NORMAL
0.441,-84.1,0.14,0.5,0.27,0.09,NONE,NORMAL
0.445,-80.23,0.14,0.5,0.27,0.09,NONE,NORMAL
0.449,-91.21,0.14,0.5,0.27,0.09,NONE,NORMAL
0.453,-98.22,0.14,0.5,0.27,0.09,NONE,NORMAL
0.457,-100.71,0.14,0.5,0.27,0.09,NONE,NORMAL
0.461,-97.78,0.14,0.5,0.27,0.09,NONE,NORMAL
0.465,-93.05,0.14,0.5,0.27,0.09,NONE,NORMAL
0.469,-93.95,0.14,0.5,0.27,0.09,NONE,NORMAL
0.473,-84.83,0.14,0.5,0.27,0.09,NONE,NORMAL
0.477,-56.1,0.14,0.5,0.27,0.09,NONE,NORMAL
0.48,-61.23,0.14,0.5,0.27,0.09,NONE,NORMAL
0.484,-25.03,0.14,0.5,0.27,0.09,NONE,NORMAL
0.488,-11.26,0.14,0.5,0.27,0.09,NONE,NORMAL
0.492,14.91,0.14,0.5,0.27,0.09,NONE,NORMAL
0.496,27.33,0.14,0.5,0.27,0.09,NONE,NORMAL
0.5,42.74,0.14,0.5,0.27,0.09,NONE,NORMAL
0.504,59.19,0.14,0.5,0.27,0.09,NONE,NORMAL
0.508,63.12,0.14,0.5,0.27,0.09,NONE,NORMAL
0.512,82.03,0.14,0.5,0.27,0.09,NONE,NORMAL
0.516,89.92,0.14,0.5,0.27,0.09,NONE,NORMAL
0.52,98.41,0.14,0.5,0.27,0.09,NONE,NORMAL
0.523,99.72,0.14,0.5,0.27,0.09,NONE,NORMAL
0.527,91.56,0.14,0.5,0.27,0.09,NONE,NORMAL
0.531,93.95,0.14,0.5,0.27,0.09,NONE,NORMAL
0.535,83.91,0.14,0.5,0.27,0.09,NONE,NORMAL
0.539,81.77,0.14,0.5,0.27,0.09,NONE,NORMAL
0.543,68.85,0.14,0.5,0.27,0.09,NONE,NORMAL
0.547,57.47,0.14,0.5,0.27,0.09,NONE,NORMAL
0.551,47.58,0.14,0.5,0.27,0.09,NONE,NORMAL
0.555,40.0,0.14,0.5,0.27,0.09,NONE,NORMAL
0.559,16.11,0.14,0.5,0.27,0.09,NONE,NORMAL
0.562,21.42,0.14,0.5,0.27,0.09,NONE,NORMAL
0.566,11.43,0.14,0.5,0.27,0.09,NONE,NORMAL
0.57,-2.92,0.14,0.5,0.27,0.09,NONE,NORMAL
0.574,-18.58,0.14,0.5,0.27,0.09,NONE,NORMAL
0.578,-25.16,0.14,0.5,0.27,0.09,NONE,NORMAL
0.582,-31.29,0.14,0.5,0.27,0.09,NONE,NORMAL
0.586,-35.26,0.14,0.5,0.27,0.09,NONE,NORMAL
0.59,-42.08,0.14,0.5,0.27,0.09,NONE,NORMAL
0.594,-45.16,0.14,0.5,0.27,0.09,NONE,NORMAL
0.598,-55.86,0.14,0.5,0.27,0.09,NONE,NORMAL
0.602,-56.38,0.14,0.5,0.27,0.09,NONE,NORMAL
0.605,-58.88,0.14,0.5,0.27,0.09,NONE,NORMAL
0.609,-54.6,0.14,0.5,0.27,0.09,NONE,NORMAL
0.613,-58.41,0.14,0.5,0.27,0.09,NONE,NORMAL
0.617,-64.11,0.14,0.5,0.27,0.09,NONE,NORMAL
0.621,-50.42,0.14,0.5,0.27,0.09,NONE,NORMAL
0.625,-40.86,0.14,0.5,0.27,0.09,NONE,NORMAL
0.629,-35.82,0.14,0.5,0.27,0.09,NONE,NORMAL
0.633,-26.47,0.14,0.5,0.27,0.09,NONE,NORMAL
0.637,-23.9,0.14,0.5,0.27,0.09,NONE,NORMAL
0.641,-15.13,0.14,0.5,0.27,0.09,NONE,NORMAL
0.645,-10.32,0.14,0.5,0.27,0.09,NONE,NORMAL
0.648,0.17,0.14,0.5,0.27,0.09,NONE,NORMAL
0.652,15.48,0.14,0.5,0.27,0.09,NONE,NORMAL
0.656,13.87,0.14,0.5,0.27,0.09,NONE,NORMAL
0.66,17.64,0.14,0.5,0.27,0.09,NONE,NORMAL
0.664,24.0,0.14,0.5,0.27,0.09,NONE,NORMAL
0.668,33.8,0.14,0.5,0.27,0.09,NONE,NORMAL
0.672,33.8,0.14,0.5,0.27,0.09,NONE,NORMAL
0.676,41.33,0.14,0.5,0.27,0.09,NONE,NORMAL
0.68,27.32,0.14,0.5,0.27,0.09,NONE,NORMAL
0.684,18.05,0.14,0.5,0.27,0.09,NONE,NORMAL
0.688,30.07,0.14,0.5,0.27,0.09,NONE,NORMAL
0.691,17.27,0.14,0.5,0.27,0.09,NONE,NORMAL
0.695,15.6,0.14,0.5,0.27,0.09,NONE,NORMAL
0.699,2.92,0.14,0.5,0.27,0.09,NONE,NORMAL
0.703,6.42,0.14,0.5,0.27,0.09,NONE,NORMAL
0.707,-3.19,0.14,0.5,0.27,0.09,NONE,NORMAL
0.711,8.48,0.14,0.5,0.27,0.09,NONE,NORMAL
0.715,-3.22,0.14,0.5,0.27,0.09,NONE,NORMAL
0.719,-0.0,0.14,0.5,0.27,0.09,NONE,NORMAL
0.723,-1.67,0.14,0.5,0.27,0.09,NONE,NORMAL
0.727,-11.59,0.14,0.5,0.27,0.09,NONE,NORMAL
0.73,-8.21,0.14,0.5,0.27,0.09,NONE,NORMAL
0.734,-3.02,0.14,0.5,0.27,0.09,NONE,NORMAL
0.738,6.86,0.14,0.5,0.27,0.09,NONE,NORMAL
0.742,9.18,0.14,0.5,0.27,0.09,NONE,NORMAL
0.746,3.99,0.14,0.5,0.27,0.09,NONE,NORMAL
0.75,8.69,0.14,0.5,0.27,0.09,NONE,NORMAL
0.754,11.8,0.14,0.5,0.27,0.09,NONE,NORMAL
0.758,2.12,0.14,0.5,0.27,0.09,NONE,NORMAL
0.762,2.7,0.14,0.5,0.27,0.09,NONE,NORMAL
0.766,-2.17,0.14,0.5,0.27,0.09,NONE,NORMAL
0.77,-11.38,0.14,0.5,0.27,0.09,NONE,NORMAL
0.773,-9.73,0.14,0.5,0.27,0.09,NONE,NORMAL
0.777,-18.86,0.14,0.5,0.27,0.09,NONE,NORMAL
0.781,-29.73,0.14,0.5,0.27,0.09,NONE,NORMAL
0.785,-21.82,0.14,0.5,0.27,0.09,NONE,NORMAL
0.789,-28.26,0.14,0.5,0.27,0.09,NONE,NORMAL
0.793,-32.09,0.14,0.5,0.27,0.09,NONE,NORMAL
0.797,-31.14,0.14,0.5,0.27,0.09,NONE,NORMAL
0.801,-37.73,0.14,0.5,0.27,0.09,NONE,NORMAL
0.805,-36.19,0.14,0.5,0.27,0.09,NONE,NORMAL
0.809,-31.36,0.14,0.5,0.27,0.09,NONE,NORMAL
0.812,-27.55,0.14,0.5,0.27,0.09,NONE,NORMAL
0.816,-18.55,0.14,0.5,0.27,0.09,NONE,NORMAL
0.82,-9.97,0.14,0.5,0.27,0.09,NONE,NORMAL
0.824,-0.77,0.14,0.5,0.27,0.09,NONE,NORMAL
0.828,11.81,0.14,0.5,0.27,0.09,NONE,NORMAL
0.832,10.07,0.14,0.5,0.27,0.09,NONE,NORMAL
0.836,27.92,0.14,0.5,0.27,0.09,NONE,NORMAL
0.84,34.45,0.14,0.5,0.27,0.09,NONE,NORMAL
0.844,38.42,0.14,0.5,0.27,0.09,NONE,NORMAL
0.848,48.01,0.14,0.5,0.27,0.09,NONE,NORMAL
0.852,44.99,0.14,0.5,0.27,0.09,NONE,NORMAL
0.855,51.18,0.14,0.5,0.27,0.09,NONE,NORMAL
0.859,55.65,0.14,0.5,0.27,0.09,NONE,NORMAL
0.863,55.45,0.14,0.5,0.27,0.09,NONE,NORMAL
0.867,53.42,0.14,0.5,0.27,0.09,NONE,NORMAL
0.871,60.95,0.14,0.5,0.27,0.09,NONE,NORMAL
0.875,60.3,0.14,0.5,0.27,0.09,NONE,NORMAL
0.879,56.65,0.14,0.5,0.27,0.09,NONE,NORMAL
0.883,42.69,0.14,0.5,0.27,0.09,NONE,NORMAL
0.887,45.61,0.14,0.5,0.27,0.09,NONE,NORMAL
0.891,25.05,0.14,0.5,0.27,0.09,NONE,NORMAL
0.895,21.97,0.14,0.5,0.27,0.09,NONE,NORMAL
0.898,13.3,0.14,0.5,0.27,0.09,NONE,NORMAL
0.902,9.81,0.14,0.5,0.27,0.09,NONE,NORMAL
0.906,-2.66,0.14,0.5,0.27,0.09,NONE,NORMAL
0.91,-16.29,0.14,0.5,0.27,0.09,NONE,NORMAL
0.914,-12.73,0.14,0.5,0.27,0.09,NONE,NORMAL
0.918,-36.08,0.14,0.5,0.27,0.09,NONE,NORMAL
0.922,-50.01,0.14,0.5,0.27,0.09,NONE,NORMAL
0.926,-56.37,0.14,0.5,0.27,0.09,NONE,NORMAL
0.93,-71.29,0.14,0.5,0.27,0.09,NONE,NORMAL
0.934,-85.7,0.14,0.5,0.27,0.09,NONE,NORMAL
0.938,-91.91,0.14,0.5,0.27,0.09,NONE,NORMAL
0.941,-98.37,0.14,0.5,0.27,0.09,NONE,NORMAL
0.945,-98.4,0.14,0.5,0.27,0.09,NONE,NORMAL
0.949,-109.03,0.14,0.5,0.27,0.09,NONE,NORMAL
0.953,-99.59,0.14,0.5,0.27,0.09,NONE,NORMAL
0.957,-75.38,0.14,0.5,0.27,0.09,NONE,NORMAL
0.961,-82.1,0.14,0.5,0.27,0.09,NONE,NORMAL
0.965,-69.3,0.14,0.5,0.27,0.09,NONE,NORMAL
0.969,-59.11,0.14,0.5,0.27,0.09,NONE,NORMAL
0.973,-39.68,0.14,0.5,0.27,0.09,NONE,NORMAL
0.977,-22.02,0.14,0.5,0.27,0.09,NONE,NORMAL
0.98,-1.49,0.14,0.5,0.27,0.09,NONE,NORMAL
0.984,10.39,0.14,0.5,0.27,0.09,NONE,NORMAL
0.988,29.88,0.14,0.5,0.27,0.09,NONE,NORMAL
0.992,45.08,0.14,0.5,0.27,0.09,NONE,NORMAL
0.996,63.68,0.14,0.5,0.27,0.09,NONE,NORMAL
1.0,76.99,0.14,0.5,0.27,0.09,NONE,NORMAL
1.004,82.89,0.14,0.5,0.27,0.09,NONE,NORMAL
1.008,101.56,0.14,0.5,0.27,0.09,NONE,NORMAL
1.012,95.39,0.14,0.5,0.27,0.09,NONE,NORMAL
1.016,106.36,0.14,0.5,0.27,0.09,NONE,NORMAL
1.02,102.98,0.14,0.5,0.27,0.09,NONE,NORMAL
1.023,90.05,0.14,0.5,0.27,0.09,NONE,NORMAL
1.027,86.88,0.14,0.5,0.27,0.09,NONE,NORMAL
1.031,80.89,0.14,0.5,0.27,0.09,NONE,NORMAL
1.035,58.06,0.14,0.5,0.27,0.09,NONE,NORMAL
1.039,59.57,0.14,0.5,0.27,0.09,NONE,NORMAL
1.043,46.67,0.14,0.5,0.27,0.09,NONE,NORMAL
1.047,35.68,0.14,0.5,0.27,0.09,NONE,NORMAL
1.051,26.46,0.14,0.5,0.27,0.09,NONE,NORMAL
1.055,10.66,0.14,0.5,0.27,0.09,NONE,NORMAL
1.059,0.65,0.14,0.5,0.27,0.09,NONE,NORMAL
1.062,-4.26,0.14,0.5,0.27,0.09,NONE,NORMAL
1.066,-21.12,0.14,0.5,0.27,0.09,NONE,NORMAL
1.07,-24.53,0.14,0.5,0.27,0.09,NONE,NORMAL
1.074,-37.08,0.14,0.5,0.27,0.09,NONE,NORMAL
1.078,-40.86,0.14,0.5,0.27,0.09,NONE,NORMAL
1.082,-50.17,0.14,0.5,0.27,0.09,NONE,NORMAL
1.086,-49.19,0.14,0.5,0.27,0.09,NONE,NORMAL
1.09,-55.18,0.14,0.5,0.27,0.09,NONE,NORMAL
1.094,-53.94,0.14,0.5,0.27,0.09,NONE,NORMAL
1.098,-61.72,0.14,0.5,0.27,0.09,NONE,NORMAL
1.102,-62.89,0.14,0.5,0.27,0.09,NONE,NORMAL
1.105,-50.41,0.14,0.5,0.27,0.09,NONE,NORMAL
1.109,-52.7,0.14,0.5,0.27,0.09,NONE,NORMAL
1.113,-50.11,0.14,0.5,0.27,0.09,NONE,NORMAL
1.117,-38.82,0.14,0.5,0.27,0.09,NONE,NORMAL
1.121,-32.16,0.14,0.5,0.27,0.09,NONE,NORMAL
1.125,-28.81,0.14,0.5,0.27,0.09,NONE,NORMAL
1.129,-20.4,0.14,0.5,0.27,0.09,NONE,NORMAL
1.133,-13.92,0.14,0.5,0.27,0.09,NONE,NORMAL
1.137,-2.77,0.14,0.5,0.27,0.09,NONE,NORMAL
1.141,-2.19,0.14,0.5,0.27,0.09,NONE,NORMAL
1.145,18.12,0.14,0.5,0.27,0.09,NONE,NORMAL
1.148,20.03,0.14,0.5,0.27,0.09,NONE,NORMAL
1.152,21.03,0.14,0.5,0.27,0.09,NONE,NORMAL
1.156,34.11,0.14,0.5,0.27,0.09,NONE,NORMAL
1.16,22.46,0.14,0.5,0.27,0.09,NONE,NORMAL
1.164,33.3,0.14,0.5,0.27,0.09,NONE,NORMAL
1.168,29.64,0.14,0.5,0.27,0.09,NONE,NORMAL
1.172,35.78,0.14,0.5,0.27,0.09,NONE,NORMAL
1.176,37.16,0.14,0.5,0.27,0.09,NONE,NORMAL
1.18,25.67,0.14,0.5,0.27,0.09,NONE,NORMAL
1.184,24.27,0.14,0.5,0.27,0.09,NONE,NORMAL
1.188,23.31,0.14,0.5,0.27,0.09,NONE,NORMAL
1.191,16.16,0.14,0.5,0.27,0.09,NONE,NORMAL
1.195,-1.88,0.14,0.5,0.27,0.09,NONE,NORMAL
1.199,4.62,0.14,0.5,0.27,0.09,NONE,NORMAL
1.203,-8.28,0.14,0.5,0.27,0.09,NONE,NORMAL
1.207,2.36,0.14,0.5,0.27,0.09,NONE,NORMAL
1.211,-5.34,0.14,0.5,0.27,0.09,NONE,NORMAL
1.215,0.79,0.14,0.5,0.27,0.09,NONE,NORMAL
1.219,-0.85,0.14,0.5,0.27,0.09,NONE,NORMAL
1.223,-1.37,0.14,0.5,0.27,0.09,NONE,NORMAL
1.227,-7.5,0.14,0.5,0.27,0.09,NONE,NORMAL
1.23,8.08,0.14,0.5,0.27,0.09,NONE,NORMAL
1.234,-1.91,0.14,0.5,0.27,0.09,NONE,NORMAL
1.238,1.65,0.14,0.5,0.27,0.09,NONE,NORMAL
1.242,11.17,0.14,0.5,0.27,0.09,NONE,NORMAL
1.246,4.79,0.14,0.5,0.27,0.09,NONE,NORMAL
1.25,3.5,0.14,0.5,0.27,0.09,NONE,NORMAL
1.254,-3.46,0.14,0.5,0.27,0.09,NONE,NORMAL
1.258,4.55,0.14,0.5,0.27,0.09,NONE,NORMAL
1.262,-1.94,0.14,0.5,0.27,0.09,NONE,NORMAL
1.266,-9.01,0.14,0.5,0.27,0.09,NONE,NORMAL
1.27,-15.8,0.14,0.5,0.27,0.09,NONE,NORMAL
1.273,-28.05,0.14,0.5,0.27,0.09,NONE,NORMAL
1.277,-24.39,0.14,0.5,0.27,0.09,NONE,NORMAL
1.281,-35.29,0.14,0.5,0.27,0.09,NONE,NORMAL
1.285,-23.52,0.14,0.5,0.27,0.09,NONE,NORMAL
1.289,-42.15,0.14,0.5,0.27,0.09,NONE,NORMAL
1.293,-23.74,0.14,0.5,0.27,0.09,NONE,NORMAL
1.297,-29.39,0.14,0.5,0.27,0.09,NONE,NORMAL
1.301,-24.55,0.14,0.5,0.27,0.09,NONE,NORMAL
1.305,-24.7,0.14,0.5,0.27,0.09,NONE,NORMAL
1.309,-11.48,0.14,0.5,0.27,0.09,NONE,NORMAL
1.312,-7.67,0.14,0.5,0.27,0.09,NONE,NORMAL
1.316,4.81,0.14,0.5,0.27,0.09,NONE,NORMAL
1.32,15.07,0.14,0.5,0.27,0.09,NONE,NORMAL
1.324,26.74,0.14,0.5,0.27,0.09,NONE,NORMAL
1.328,24.93,0.14,0.5,0.27,0.09,NONE,NORMAL
1.332,40.3,0.14,0.5,0.27,0.09,NONE,NORMAL
1.336,31.56,0.14,0.5,0.27,0.09,NONE,NORMAL
1.34,43.59,0.14,0.5,0.27,0.09,NONE,NORMAL
1.344,50.13,0.14,0.5,0.27,0.09,NONE,NORMAL
1.348,53.8,0.14,0.5,0.27,0.09,NONE,NORMAL
1.352,62.41,0.14,0.5,0.27,0.09,NONE,NORMAL
1.355,53.22,0.14,0.5,0.27,0.09,NONE,NORMAL
1.359,55.41,0.14,0.5,0.27,0.09,NONE,NORMAL
1.363,55.88,0.14,0.5,0.27,0.09,NONE,NORMAL
1.367,50.04,0.14,0.5,0.27,0.09,NONE,NORMAL
1.371,50.76,0.14,0.5,0.27,0.09,NONE,NORMAL
1.375,42.95,0.14,0.5,0.27,0.09,NONE,NORMAL
1.379,35.7,0.14,0.5,0.27,0.09,NONE,NORMAL
1.383,33.53,0.14,0.5,0.27,0.09,NONE,NORMAL
1.387,16.77,0.14,0.5,0.27,0.09,NONE,NORMAL
1.391,10.75,0.14,0.5,0.27,0.09,NONE,NORMAL
1.395,2.69,0.14,0.5,0.27,0.09,NONE,NORMAL
1.398,-15.33,0.14,0.5,0.27,0.09,NONE,NORMAL
1.402,-15.61,0.14,0.5,0.27,0.09,NONE,NORMAL
1.406,-25.25,0.14,0.5,0.27,0.09,NONE,NORMAL
1.41,-36.9,0.14,0.5,0.27,0.09,NONE,NORMAL
1.414,-54.85,0.14,0.5,0.27,0.09,NONE,NORMAL
1.418,-55.27,0.14,0.5,0.27,0.09,NONE,NORMAL
1.422,-72.22,0.14,0.5,0.27,0.09,NONE,NORMAL
1.426,-76.28,0.14,0.5,0.27,0.09,NONE,NORMAL
1.43,-97.8,0.14,0.5,0.27,0.09,NONE,NORMAL
1.434,-86.92,0.14,0.5,0.27,0.09,NONE,NORMAL
1.438,-104.26,0.14,0.5,0.27,0.09,NONE,NORMAL
1.441,-100.35,0.14,0.5,0.27,0.09,NONE,NORMAL
1.445,-93.79,0.14,0.5,0.27,0.09,NONE,NORMAL
1.449,-80.54,0.14,0.5,0.27,0.09,NONE,NORMAL
1.453,-82.13,0.14,0.5,0.27,0.09,NONE,NORMAL
1.457,-72.68,0.14,0.5,0.27,0.09,NONE,NORMAL
1.461,-62.56,0.14,0.5,0.27,0.09,NONE,NORMAL
1.465,-41.47,0.14,0.5,0.27,0.09,NONE,NORMAL
1.469,-18.66,0.14,0.5,0.27,0.09,NONE,NORMAL
1.473,2.28,0.14,0.5,0.27,0.09,NONE,NORMAL
1.477,19.58,0.14,0.5,0.27,0.09,NONE,NORMAL
1.48,33.95,0.14,0.5,0.27,0.09,NONE,NORMAL
1.484,61.87,0.14,0.5,0.27,0.09,NONE,NORMAL
1.488,64.82,0.14,0.5,0.27,0.09,NONE,NORMAL
1.492,77.84,0.14,0.5,0.27,0.09,NONE,NORMAL
1.496,91.8,0.14,0.5,0.27,0.09,NONE,NORMAL
1.5,93.44,0.14,0.5,0.27,0.09,NONE,NORMAL
1.504,103.88,0.14,0.5,0.27,0.09,NONE,NORMAL
1.508,103.73,0.14,0.5,0.27,0.09,NONE,NORMAL
1.512,88.08,0.14,0.5,0.27,0.09,NONE,NORMAL
1.516,85.57,0.14,0.5,0.27,0.09,NONE,NORMAL
1.52,79.77,0.14,0.5,0.27,0.09,NONE,NORMAL
1.523,81.6,0.14,0.5,0.27,0.09,NONE,NORMAL
1.527,55.5,0.14,0.5,0.27,0.09,NONE,NORMAL
1.531,51.72,0.14,0.5,0.27,0.09,NONE,NORMAL
1.535,39.48,0.14,0.5,0.27,0.09,NONE,NORMAL
1.539,34.64,0.14,0.5,0.27,0.09,NONE,NORMAL
1.543,12.42,0.14,0.5,0.27,0.09,NONE,NORMAL
1.547,3.09,0.14,0.5,0.27,0.09,NONE,NORMAL
1.551,2.9,0.14,0.5,0.27,0.09,NONE,NORMAL
1.555,-20.01,0.14,0.5,0.27,0.09,NONE,NORMAL
1.559,-18.4,0.14,0.5,0.27,0.09,NONE,NORMAL
1.562,-36.31,0.14,0.5,0.27,0.09,NONE,NORMAL
1.566,-31.56,0.14,0.5,0.27,0.09,NONE,NORMAL
1.57,-40.06,0.14,0.5,0.27,0.09,NONE,NORMAL
