time,amplitude,theta_power,alpha_power,beta_power,gamma_power,command,motor_impairment
0.18,25.37,0.1,0.3,0.51,0.09,NONE,NORMAL
0.184,20.13,0.1,0.3,0.51,0.09,NONE,NORMAL
0.188,24.01,0.1,0.3,0.51,0.09,NONE,NORMAL
0.191,2.01,0.1,0.3,0.51,0.09,NONE,NORMAL
0.195,-4.32,0.1,0.3,0.51,0.09,NONE,NORMAL
0.199,-9.46,0.1,0.3,0.51,0.09,NONE,NORMAL
0.203,-23.18,0.1,0.3,0.51,0.09,NONE,NORMAL
0.207,-32.72,0.1,0.3,0.51,0.09,NONE,NORMAL
0.211,-42.88,0.1,0.3,0.51,0.09,NONE,NORMAL
0.215,-42.84,0.1,0.3,0.51,0.09,NONE,NORMAL
0.219,-44.3,0.1,0.3,0.51,0.09,NONE,NORMAL
0.223,-44.6,0.1,0.3,0.51,0.09,NONE,NORMAL
0.227,-46.12,0.1,0.3,0.51,0.09,NONE,NORMAL
0.23,-34.88,0.1,0.3,0.51,0.09,NONE,NORMAL
0.234,-28.63,0.1,0.3,0.51,0.09,NONE,NORMAL
0.238,-23.3,0.1,0.3,0.51,0.09,NONE,NORMAL
0.242,1.35,0.1,0.3,0.51,0.09,NONE,NORMAL
0.246,0.31,0.1,0.3,0.51,0.09,NONE,NORMAL
0.25,5.79,0.1,0.3,0.51,0.09,NONE,NORMAL
0.254,21.71,0.1,0.3,0.51,0.09,NONE,NORMAL
0.258,27.54,0.1,0.3,0.51,0.09,NONE,NORMAL
0.262,41.77,0.1,0.3,0.51,0.09,NONE,NORMAL
0.266,44.72,0.1,0.3,0.51,0.09,NONE,NORMAL
0.27,40.06,0.1,0.3,0.51,0.09,NONE,NORMAL
0.273,44.42,0.1,0.3,0.51,0.09,NONE,NORMAL
0.277,47.06,0.1,0.3,0.51,0.09,NONE,NORMAL
0.281,40.29,0.1,0.3,0.51,0.09,NONE,NORMAL
0.285,29.31,0.1,0.3,0.51,0.09,NONE,NORMAL
0.289,18.26,0.1,0.3,0.51,0.09,NONE,NORMAL
0.293,9.07,0.1,0.3,0.51,0.09,NONE,NORMAL
0.297,5.59,0.1,0.3,0.51,0.09,NONE,NORMAL
0.301,-14.15,0.1,0.3,0.51,0.09,NONE,NORMAL
0.305,-30.42,0.1,0.3,0.51,0.09,NONE,NORMAL
0.309,-27.83,0.1,0.3,0.51,0.09,NONE,NORMAL
0.312,-37.37,0.1,0.3,0.51,0.09,NONE,NORMAL
0.316,-34.99,0.1,0.3,0.51,0.09,NONE,NORMAL
0.32,-50.43,0.1,0.3,0.51,0.09,NONE,NORMAL
0.324,-49.07,0.1,0.3,0.51,0.09,NONE,NORMAL
0.328,-44.24,0.1,0.3,0.51,0.09,NONE,NORMAL
0.332,-38.35,0.1,0.3,0.51,0.09,NONE,NORMAL
0.336,-34.67,0.1,0.3,0.51,0.09,NONE,NORMAL
0.34,-25.82,0.1,0.3,0.51,0.09,NONE,NORMAL
0.344,-17.72,0.1,0.3,0.51,0.09,NONE,NORMAL
0.348,-25.15,0.1,0.3,0.51,0.09,NONE,NORMAL
0.352,-0.89,0.1,0.3,0.51,0.09,NONE,NORMAL
0.355,-1.08,0.1,0.3,0.51,0.09,NONE,NORMAL
0.359,14.78,0.1,0.3,0.51,0.09,NONE,NORMAL
0.363,23.79,0.1,0.3,0.51,0.09,NONE,NORMAL
0.367,32.98,0.1,0.3,0.51,0.09,NONE,NORMAL
0.371,46.75,0.1,0.3,0.51,0.09,NONE,NORMAL
0.375,49.37,0.1,0.3,0.51,0.09,NONE,NORMAL
0.379,44.19,0.1,0.3,0.51,0.09,NONE,NORMAL
0.383,61.31,0.1,0.3,0.51,0.09,NONE,NORMAL
0.387,55.38,0.1,0.3,0.51,0.09,NONE,NORMAL
0.391,61.33,0.1,0.3,0.51,0.09,NONE,NORMAL
0.395,52.45,0.1,0.3,0.51,0.09,NONE,NORMAL
0.398,63.82,0.1,0.3,0.51,0.09,NONE,NORMAL
0.402,48.44,0.1,0.3,0.51,0.09,NONE,NORMAL
0.406,45.16,0.1,0.3,0.51,0.09,NONE,NORMAL
0.41,47.33,0.1,0.3,0.51,0.09,NONE,NORMAL
0.414,30.69,0.1,0.3,0.51,0.09,NONE,NORMAL
0.418,17.12,0.1,0.3,0.51,0.09,NONE,NORMAL
0.422,12.86,0.1,0.3,0.51,0.09,NONE,NORMAL
0.426,-11.28,0.1,0.3,0.51,0.09,NONE,NORMAL
0.43,-23.51,0.1,0.3,0.51,0.09,NONE,NORMAL
0.434,-36.34,0.1,0.3,0.51,0.09,NONE,NORMAL
0.438,-51.27,0.1,0.3,0.51,0.09,NONE,NORMAL
0.441,-65.13,0.1,0.3,0.51,0.09,NONE,NORMAL
0.445,-86.73,0.1,0.3,0.51,0.09,NONE,NORMAL
0.449,-88.6,0.1,0.3,0.51,0.09,NONE,NORMAL
0.453,-103.77,0.1,0.3,0.51,0.09,NONE,NORMAL
0.457,-103.11,0.1,0.3,0.51,0.09,NONE,NORMAL
0.461,-106.66,0.1,0.3,0.51,0.09,NONE,NORMAL
0.465,-106.07,0.1,0.3,0.51,0.09,NONE,NORMAL
0.469,-95.23,0.1,0.3,0.51,0.09,NONE,NORMAL
0.473,-87.54,0.1,0.3,0.51,0.09,NONE,NORMAL
0.477,-70.61,0.1,0.3,0.51,0.09,NONE,NORMAL
0.48,-53.41,0.1,0.3,0.51,0.09,NONE,NORMAL
0.484,-32.83,0.1,0.3,0.51,0.09,NONE,NORMAL
0.488,-13.1,0.1,0.3,0.51,0.09,NONE,NORMAL
0.492,4.01,0.1,0.3,0.51,0.09,NONE,NORMAL
0.496,27.02,0.1,0.3,0.51,0.09,NONE,NORMAL
0.5,50.81,0.1,0.3,0.51,0.09,NONE,NORMAL
0.504,69.8,0.1,0.3,0.51,0.09,NONE,NORMAL
0.508,79.24,0.1,0.3,0.51,0.09,NONE,NORMAL
0.512,89.45,0.1,0.3,0.51,0.09,NONE,NORMAL
0.516,96.3,0.1,0.3,0.51,0.09,NONE,NORMAL
0.52,110.05,0.1,0.3,0.51,0.09,NONE,NORMAL
0.523,113.41,0.1,0.3,0.51,0.09,NONE,NORMAL
0.527,100.65,0.1,0.3,0.51,0.09,NONE,NORMAL
0.531,97.11,0.1,0.3,0.51,0.09,NONE,NORMAL
0.535,85.79,0.1,0.3,0.51,0.09,NONE,NORMAL
0.539,76.12,0.1,0.3,0.51,0.09,NONE,NORMAL
0.543,66.42,0.1,0.3,0.51,0.09,NONE,NORMAL
0.547,41.23,0.1,0.3,0.51,0.09,NONE,NORMAL
0.551,32.94,0.1,0.3,0.51,0.09,NONE,NORMAL
0.555,18.29,0.1,0.3,0.51,0.09,NONE,NORMAL
0.559,1.1,0.1,0.3,0.51,0.09,NONE,NORMAL
0.562,-17.71,0.1,0.3,0.51,0.09,NONE,NORMAL
0.566,-12.73,0.1,0.3,0.51,0.09,NONE,NORMAL
0.57,-38.45,0.1,0.3,0.51,0.09,NONE,NORMAL
0.574,-47.22,0.1,0.3,0.51,0.09,NONE,NORMAL
0.578,-46.94,0.1,0.3,0.51,0.09,NONE,NORMAL
0.582,-57.65,0.1,0.3,0.51,0.09,NONE,NORMAL
0.586,-60.41,0.1,0.3,0.51,0.09,NONE,NORMAL
0.59,-69.98,0.1,0.3,0.51,0.09,NONE,NORMAL
0.594,-58.3,0.1,0.3,0.51,0.09,NONE,NORMAL
0.598,-60.32,0.1,0.3,0.51,0.09,NONE,NORMAL
0.602,-51.06,0.1,0.3,0.51,0.09,NONE,NORMAL
0.605,-39.71,0.1,0.3,0.51,0.09,NONE,NORMAL
0.609,-53.91,0.1,0.3,0.51,0.09,NONE,NORMAL
0.613,-34.3,0.1,0.3,0.51,0.09,NONE,NORMAL
0.617,-25.61,0.1,0.3,0.51,0.09,NONE,NORMAL
0.621,-16.59,0.1,0.3,0.51,0.09,NONE,NORMAL
0.625,-9.88,0.1,0.3,0.51,0.09,NONE,NORMAL
0.629,-15.99,0.1,0.3,0.51,0.09,NONE,NORMAL
0.633,15.4,0.1,0.3,0.51,0.09,NONE,NORMAL
0.637,23.83,0.1,0.3,0.51,0.09,NONE,NORMAL
0.641,26.39,0.1,0.3,0.51,0.09,NONE,NORMAL
0.645,36.0,0.1,0.3,0.51,0.09,NONE,NORMAL
0.648,38.0,0.1,0.3,0.51,0.09,NONE,NORMAL
0.652,38.63,0.1,0.3,0.51,0.09,NONE,NORMAL
0.656,39.21,0.1,0.3,0.51,0.09,NONE,NORMAL
0.66,45.88,0.1,0.3,0.51,0.09,NONE,NORMAL
0.664,51.92,0.1,0.3,0.51,0.09,NONE,NORMAL
0.668,32.81,0.1,0.3,0.51,0.09,NONE,NORMAL
0.672,29.0,0.1,0.3,0.51,0.09,NONE,NORMAL
0.676,23.8,0.1,0.3,0.51,0.09,NONE,NORMAL
0.68,17.89,0.1,0.3,0.51,0.09,NONE,NORMAL
0.684,2.75,0.1,0.3,0.51,0.09,NONE,NORMAL
0.688,-16.11,0.1,0.3,0.51,0.09,NONE,NORMAL
0.691,-20.14,0.1,0.3,0.51,0.09,NONE,NORMAL
0.695,-33.6,0.1,0.3,0.51,0.09,NONE,NORMAL
0.699,-37.76,0.1,0.3,0.51,0.09,NONE,NORMAL
0.703,-39.04,0.1,0.3,0.51,0.09,NONE,NORMAL
0.707,-34.9,0.1,0.3,0.51,0.09,NONE,NORMAL
0.711,-35.41,0.1,0.3,0.51,0.09,NONE,NORMAL
0.715,-39.53,0.1,0.3,0.51,0.09,NONE,NORMAL
0.719,-51.48,0.1,0.3,0.51,0.09,NONE,NORMAL
0.723,-34.16,0.1,0.3,0.51,0.09,NONE,NORMAL
0.727,-24.14,0.1,0.3,0.51,0.09,NONE,NORMAL
0.73,-8.1,0.1,0.3,0.51,0.09,NONE,NORMAL
0.734,-5.97,0.1,0.3,0.51,0.09,NONE,NORMAL
0.738,4.67,0.1,0.3,0.51,0.09,NONE,NORMAL
0.742,20.22,0.1,0.3,0.51,0.09,NONE,NORMAL
0.746,29.81,0.1,0.3,0.51,0.09,NONE,NORMAL
0.75,33.44,0.1,0.3,0.51,0.09,NONE,NORMAL
0.754,38.84,0.1,0.3,0.51,0.09,NONE,NORMAL
0.758,42.86,0.1,0.3,0.51,0.09,NONE,NORMAL
0.762,52.33,0.1,0.3,0.51,0.09,NONE,NORMAL
0.766,36.38,0.1,0.3,0.51,0.09,NONE,NORMAL
0.77,38.11,0.1,0.3,0.51,0.09,NONE,NORMAL
0.773,28.83,0.1,0.3,0.51,0.09,NONE,NORMAL
0.777,26.27,0.1,0.3,0.51,0.09,NONE,NORMAL
0.781,17.06,0.1,0.3,0.51,0.09,NONE,NORMAL
0.785,5.55,0.1,0.3,0.51,0.09,NONE,NORMAL
0.789,0.97,0.1,0.3,0.51,0.09,NONE,NORMAL
0.793,-10.96,0.1,0.3,0.51,0.09,NONE,NORMAL
0.797,-21.15,0.1,0.3,0.51,0.09,NONE,NORMAL
0.801,-31.18,0.1,0.3,0.51,0.09,NONE,NORMAL
0.805,-28.37,0.1,0.3,0.51,0.09,NONE,NORMAL
0.809,-42.44,0.1,0.3,0.51,0.09,NONE,NORMAL
0.812,-52.07,0.1,0.3,0.51,0.09,NONE,NORMAL
0.816,-41.8,0.1,0.3,0.51,0.09,NONE,NORMAL
0.82,-34.54,0.1,0.3,0.51,0.09,NONE,NORMAL
0.824,-38.69,0.1,0.3,0.51,0.09,NONE,NORMAL
0.828,-32.02,0.1,0.3,0.51,0.09,NONE,NORMAL
0.832,-23.03,0.1,0.3,0.51,0.09,NONE,NORMAL
0.836,-23.53,0.1,0.3,0.51,0.09,NONE,NORMAL
0.84,-4.43,0.1,0.3,0.51,0.09,NONE,NORMAL
0.844,-3.65,0.1,0.3,0.51,0.09,NONE,NORMAL
0.848,9.41,0.1,0.3,0.51,0.09,NONE,NORMAL
0.852,11.19,0.1,0.3,0.51,0.09,NONE,NORMAL
0.855,20.02,0.1,0.3,0.51,0.09,NONE,NORMAL
0.859,31.98,0.1,0.3,0.51,0.09,NONE,NORMAL
0.863,47.19,0.1,0.3,0.51,0.09,NONE,NORMAL
0.867,45.16,0.1,0.3,0.51,0.09,NONE,NORMAL
0.871,49.6,0.1,0.3,0.51,0.09,NONE,NORMAL
0.875,61.76,0.1,0.3,0.51,0.09,NONE,NORMAL
0.879,58.06,0.1,0.3,0.51,0.09,NONE,NORMAL
0.883,59.93,0.1,0.3,0.51,0.09,NONE,NORMAL
0.887,65.41,0.1,0.3,0.51,0.09,NONE,NORMAL
0.891,54.24,0.1,0.3,0.51,0.09,NONE,NORMAL
0.895,56.0,0.1,0.3,0.51,0.09,NONE,NORMAL
0.898,44.92,0.1,0.3,0.51,0.09,NONE,NORMAL
0.902,33.05,0.1,0.3,0.51,0.09,NONE,NORMAL
0.906,38.73,0.1,0.3,0.51,0.09,NONE,NORMAL
0.91,10.51,0.1,0.3,0.51,0.09,NONE,NORMAL
0.914,1.86,0.1,0.3,0.51,0.09,NONE,NORMAL
0.918,-19.75,0.1,0.3,0.51,0.09,NONE,NORMAL
0.922,-36.53,0.1,0.3,0.51,0.09,NONE,NORMAL
0.926,-47.91,0.1,0.3,0.51,0.09,NONE,NORMAL
0.93,-64.27,0.1,0.3,0.51,0.09,NONE,NORMAL
0.934,-73.33,0.1,0.3,0.51,0.09,NONE,NORMAL
0.938,-90.15,0.1,0.3,0.51,0.09,NONE,NORMAL
0.941,-103.58,0.1,0.3,0.51,0.09,NONE,NORMAL
0.945,-110.59,0.1,0.3,0.51,0.09,NONE,NORMAL
0.949,-112.46,0.1,0.3,0.51,0.09,NONE,NORMAL
0.953,-102.58,0.1,0.3,0.51,0.09,NONE,NORMAL
0.957,-102.24,0.1,0.3,0.51,0.09,NONE,NORMAL
0.961,-98.39,0.1,0.3,0.51,0.09,NONE,NORMAL
0.965,-73.25,0.1,0.3,0.51,0.09,NONE,NORMAL
0.969,-68.47,0.1,0.3,0.51,0.09,NONE,NORMAL
0.973,-59.52,0.1,0.3,0.51,0.09,NONE,NORMAL
0.977,-21.61,0.1,0.3,0.51,0.09,NONE,NORMAL
0.98,5.75,0.1,0.3,0.51,0.09,NONE,NORMAL
0.984,10.92,0.1,0.3,0.51,0.09,NONE,NORMAL
0.988,26.94,0.1,0.3,0.51,0.09,NONE,NORMAL
0.992,56.76,0.1,0.3,0.51,0.09,NONE,NORMAL
0.996,72.13,0.1,0.3,0.51,0.09,NONE,NORMAL
1.0,87.9,0.1,0.3,0.51,0.09,NONE,NORMAL
1.004,102.6,0.1,0.3,0.51,0.09,NONE,NORMAL
1.008,103.05,0.1,0.3,0.51,0.09,NONE,NORMAL
1.012,107.26,0.1,0.3,0.51,0.09,NONE,NORMAL
1.016,106.69,0.1,0.3,0.51,0.09,NONE,NORMAL
1.02,107.18,0.1,0.3,0.51,0.09,NONE,NORMAL
1.023,98.39,0.1,0.3,0.51,0.09,NONE,NORMAL
1.027,77.44,0.1,0.3,0.51,0.09,NONE,NORMAL
1.031,70.95,0.1,0.3,0.51,0.09,NONE,NORMAL
1.035,53.09,0.1,0.3,0.51,0.09,NONE,NORMAL
1.039,35.56,0.1,0.3,0.51,0.09,NONE,NORMAL
1.043,26.95,0.1,0.3,0.51,0.09,NONE,NORMAL
1.047,5.04,0.1,0.3,0.51,0.09,NONE,NORMAL
1.051,-3.97,0.1,0.3,0.51,0.09,NONE,NORMAL
1.055,-9.29,0.1,0.3,0.51,0.09,NONE,NORMAL
1.059,-28.96,0.1,0.3,0.51,0.09,NONE,NORMAL
1.062,-39.63,0.1,0.3,0.51,0.09,NONE,NORMAL
1.066,-37.65,0.1,0.3,0.51,0.09,NONE,NORMAL
1.07,-53.7,0.1,0.3,0.51,0.09,NONE,NORMAL
1.074,-62.04,0.1,0.3,0.51,0.09,NONE,NORMAL
1.078,-64.64,0.1,0.3,0.51,0.09,NONE,NORMAL
1.082,-60.25,0.1,0.3,0.51,0.09,NONE,NORMAL
1.086,-57.73,0.1,0.3,0.51,0.09,NONE,NORMAL
1.09,-65.03,0.1,0.3,0.51,0.09,NONE,NORMAL
1.094,-57.7,0.1,0.3,0.51,0.09,NONE,NORMAL
1.098,-48.91,0.1,0.3,0.51,0.09,NONE,NORMAL
1.102,-32.56,0.1,0.3,0.51,0.09,NONE,NORMAL
1.105,-17.66,0.1,0.3,0.51,0.09,NONE,NORMAL
1.109,-23.66,0.1,0.3,0.51,0.09,NONE,NORMAL
1.113,-17.77,0.1,0.3,0.51,0.09,NONE,NORMAL
1.117,-13.6,0.1,0.3,0.51,0.09,NONE,NORMAL
1.121,0.91,0.1,0.3,0.51,0.09,NONE,NORMAL
1.125,2.76,0.1,0.3,0.51,0.09,NONE,NORMAL
1.129,21.97,0.1,0.3,0.51,0.09,NONE,NORMAL
1.133,38.69,0.1,0.3,0.51,0.09,NONE,NORMAL
1.137,29.11,0.1,0.3,0.51,0.09,NONE,NORMAL
1.141,32.96,0.1,0.3,0.51,0.09,NONE,NORMAL
1.145,35.22,0.1,0.3,0.51,0.09,NONE,NORMAL
1.148,32.7,0.1,0.3,0.51,0.09,NONE,NORMAL
1.152,39.09,0.1,0.3,0.51,0.09,NONE,NORMAL
1.156,34.11,0.1,0.3,0.51,0.09,NONE,NORMAL
1.16,33.79,0.1,0.3,0.51,0.09,NONE,NORMAL
1.164,27.2,0.1,0.3,0.51,0.09,NONE,NORMAL
1.168,23.02,0.1,0.3,0.51,0.09,NONE,NORMAL
1.172,11.08,0.1,0.3,0.51,0.09,NONE,NORMAL
1.176,4.66,0.1,0.3,0.51,0.09,NONE,NORMAL
1.18,-22.62,0.1,0.3,0.51,0.09,NONE,NORMAL
1.184,-15.13,0.1,0.3,0.51,0.09,NONE,NORMAL
1.188,-29.53,0.1,0.3,0.51,0.09,NONE,NORMAL
1.191,-24.22,0.1,0.3,0.51,0.09,NONE,NORMAL
1.195,-45.28,0.1,0.3,0.51,0.09,NONE,NORMAL
1.199,-44.17,0.1,0.3,0.51,0.09,NONE,NORMAL
1.203,-48.72,0.1,0.3,0.51,0.09,NONE,NORMAL
1.207,-41.98,0.1,0.3,0.51,0.09,NONE,NORMAL
1.211,-40.51,0.1,0.3,0.51,0.09,NONE,NORMAL
1.215,-39.72,0.1,0.3,0.51,0.09,NONE,NORMAL
1.219,-22.68,0.1,0.3,0.51,0.09,NONE,NORMAL
1.223,-8.91,0.1,0.3,0.51,0.09,NONE,NORMAL
1.227,-2.62,0.1,0.3,0.51,0.09,NONE,NORMAL
1.23,15.71,0.1,0.3,0.51,0.09,NONE,NORMAL
1.234,13.9,0.1,0.3,0.51,0.09,NONE,NORMAL
1.238,29.95,0.1,0.3,0.51,0.09,NONE,NORMAL
1.242,32.51,0.1,0.3,0.51,0.09,NONE,NORMAL
1.246,36.61,0.1,0.3,0.51,0.09,NONE,NORMAL
1.25,43.4,0.1,0.3,0.51,0.09,NONE,NORMAL
1.254,39.36,0.1,0.3,0.51,0.09,NONE,NORMAL
1.258,53.91,0.1,0.3,0.51,0.09,NONE,NORMAL
1.262,31.76,0.1,0.3,0.51,0.09,NONE,NORMAL
1.266,37.82,0.1,0.3,0.51,0.09,NONE,NORMAL
1.27,20.12,0.1,0.3,0.51,0.09,NONE,NORMAL
1.273,13.51,0.1,0.3,0.51,0.09,NONE,NORMAL
1.277,5.26,0.1,0.3,0.51,0.09,NONE,NORMAL
1.281,-0.39,0.1,0.3,0.51,0.09,NONE,NORMAL
1.285,-15.83,0.1,0.3,0.51,0.09,NONE,NORMAL
1.289,-31.53,0.1,0.3,0.51,0.09,NONE,NORMAL
1.293,-28.41,0.1,0.3,0.51,0.09,NONE,NORMAL
1.297,-29.26,0.1,0.3,0.51,0.09,NONE,NORMAL
1.301,-35.86,0.1,0.3,0.51,0.09,NONE,NORMAL
1.305,-46.73,0.1,0.3,0.51,0.09,NONE,NORMAL
1.309,-35.79,0.1,0.3,0.51,0.09,NONE,NORMAL
1.312,-37.11,0.1,0.3,0.51,0.09,NONE,NORMAL
1.316,-37.69,0.1,0.3,0.51,0.09,NONE,NORMAL
1.32,-20.41,0.1,0.3,0.51,0.09,NONE,NORMAL
1.324,-25.97,0.1,0.3,0.51,0.09,NONE,NORMAL
1.328,-4.67,0.1,0.3,0.51,0.09,NONE,NORMAL
1.332,-8.93,0.1,0.3,0.51,0.09,NONE,NORMAL
1.336,-1.49,0.1,0.3,0.51,0.09,NONE,NORMAL
1.34,5.25,0.1,0.3,0.51,0.09,NONE,NORMAL
1.344,24.51,0.1,0.3,0.51,0.09,NONE,NORMAL
1.348,27.62,0.1,0.3,0.51,0.09,NONE,NORMAL
1.352,35.64,0.1,0.3,0.51,0.09,NONE,NORMAL
1.355,49.17,0.1,0.3,0.51,0.09,NONE,NORMAL
1.359,47.98,0.1,0.3,0.51,0.09,NONE,NORMAL
1.363,53.33,0.1,0.3,0.51,0.09,NONE,NORMAL
1.367,59.01,0.1,0.3,0.51,0.09,NONE,NORMAL
1.371,59.28,0.1,0.3,0.51,0.09,NONE,NORMAL
1.375,58.87,0.1,0.3,0.51,0.09,NONE,NORMAL
1.379,55.56,0.1,0.3,0.51,0.09,NONE,NORMAL
1.383,64.44,0.1,0.3,0.51,0.09,NONE,NORMAL
1.387,59.94,0.1,0.3,0.51,0.09,NONE,NORMAL
1.391,49.09,0.1,0.3,0.51,0.09,NONE,NORMAL
1.395,31.12,0.1,0.3,0.51,0.09,NONE,NORMAL
1.398,19.1,0.1,0.3,0.51,0.09,NONE,NORMAL
1.402,11.32,0.1,0.3,0.51,0.09,NONE,NORMAL
1.406,-7.09,0.1,0.3,0.51,0.09,NONE,NORMAL
1.41,-24.11,0.1,0.3,0.51,0.09,NONE,NORMAL
1.414,-38.5,0.1,0.3,0.51,0.09,NONE,NORMAL
1.418,-57.33,0.1,0.3,0.51,0.09,NONE,NORMAL
1.422,-69.3,0.1,0.3,0.51,0.09,NONE,NORMAL
1.426,-83.03,0.1,0.3,0.51,0.09,NONE,NORMAL
1.43,-94.41,0.1,0.3,0.51,0.09,NONE,NORMAL
1.434,-92.22,0.1,0.3,0.51,0.09,NONE,NORMAL
1.438,-100.48,0.1,0.3,0.51,0.09,NONE,NORMAL
1.441,-109.11,0.1,0.3,0.51,0.09,NONE,NORMAL
1.445,-108.1,0.1,0.3,0.51,0.09,NONE,NORMAL
1.449,-97.13,0.1,0.3,0.51,0.09,NONE,NORMAL
1.453,-88.98,0.1,0.3,0.51,0.09,NONE,NORMAL
1.457,-78.55,0.1,0.3,0.51,0.09,NONE,NORMAL
1.461,-58.03,0.1,0.3,0.51,0.09,NONE,NORMAL
1.465,-42.77,0.1,0.3,0.51,0.09,NONE,NORMAL
1.469,-16.36,0.1,0.3,0.51,0.09,NONE,NORMAL
1.473,-2.52,0.1,0.3,0.51,0.09,NONE,NORMAL
1.477,19.41,0.1,0.3,0.51,0.09,NONE,NORMAL
1.48,41.72,0.1,0.3,0.51,0.09,NONE,NORMAL
1.484,53.3,0.1,0.3,0.51,0.09,NONE,NORMAL
1.488,81.84,0.1,0.3,0.51,0.09,NONE,NORMAL
1.492,85.91,0.1,0.3,0.51,0.09,NONE,NORMAL
1.496,96.05,0.1,0.3,0.51,0.09,NONE,NORMAL
1.5,109.4,0.1,0.3,0.51,0.09,NONE,NORMAL
1.504,109.14,0.1,0.3,0.51,0.09,NONE,NORMAL
1.508,110.75,0.1,0.3,0.51,0.09,NONE,NORMAL
1.512,100.7,0.1,0.3,0.51,0.09,NONE,NORMAL
1.516,92.53,0.1,0.3,0.51,0.09,NONE,NORMAL
1.52,80.14,0.1,0.3,0.51,0.09,NONE,NORMAL
1.523,66.98,0.1,0.3,0.51,0.09,NONE,NORMAL
1.527,60.59,0.1,0.3,0.51,0.09,NONE,NORMAL
1.531,33.16,0.1,0.3,0.51,0.09,NONE,NORMAL
1.535,17.66,0.1,0.3,0.51,0.09,NONE,NORMAL
1.539,-3.61,0.1,0.3,0.51,0.09,NONE,NORMAL
1.543,-8.87,0.1,0.3,0.51,0.09,NONE,NORMAL
1.547,-26.09,0.1,0.3,0.51,0.09,NONE,NORMAL
1.551,-31.0,0.1,0.3,0.51,0.09,NONE,NORMAL
1.555,-41.65,0.1,0.3,0.51,0.09,NONE,NORMAL
1.559,-49.01,0.1,0.3,0.51,0.09,NONE,NORMAL
1.562,-58.2,0.1,0.3,0.51,0.09,NONE,NORMAL
1.566,-64.03,0.1,0.3,0.51,0.09,NONE,NORMAL
1.57,-63.16,0.1,0.3,0.51,0.09,NONE,NORMAL
