time,amplitude,theta_power,alpha_power,beta_power,gamma_power,command,attention_deficit
0.16,20.41,0.09,0.33,0.47,0.11,NONE,NORMAL
0.164,29.1,0.09,0.33,0.47,0.11,NONE,NORMAL
0.168,43.19,0.09,0.33,0.47,0.11,NONE,NORMAL
0.172,36.97,0.09,0.33,0.47,0.11,NONE,NORMAL
0.176,28.62,0.09,0.33,0.47,0.11,NONE,NORMAL
0.18,37.35,0.09,0.33,0.47,0.11,NONE,NORMAL
0.184,35.21,0.09,0.33,0.47,0.11,NONE,NORMAL
0.188,20.33,0.09,0.33,0.47,0.11,NONE,NORMAL
0.191,11.38,0.09,0.33,0.47,0.11,NONE,NORMAL
0.195,-3.59,0.09,0.33,0.47,0.11,NONE,NORMAL
0.199,-5.92,0.09,0.33,0.47,0.11,NONE,NORMAL
0.203,1.63,0.09,0.33,0.47,0.11,NONE,NORMAL
0.207,-19.71,0.09,0.33,0.47,0.11,NONE,NORMAL
0.211,-23.9,0.09,0.33,0.47,0.11,NONE,NORMAL
0.215,-34.93,0.09,0.33,0.47,0.11,NONE,NORMAL
0.219,-39.07,0.09,0.33,0.47,0.11,NONE,NORMAL
0.223,-39.66,0.09,0.33,0.47,0.11,NONE,NORMAL
0.227,-33.27,0.09,0.33,0.47,0.11,NONE,NORMAL
0.23,-33.46,0.09,0.33,0.47,0.11,NONE,NORMAL
0.234,-20.28,0.09,0.33,0.47,0.11,NONE,NORMAL
0.238,-7.98,0.09,0.33,0.47,0.11,NONE,NORMAL
0.242,-5.41,0.09,0.33,0.47,0.11,NONE,NORMAL
0.246,-0.93,0.09,0.33,0.47,0.11,NONE,NORMAL
0.25,18.38,0.09,0.33,0.47,0.11,NONE,NORMAL
0.254,14.28,0.09,0.33,0.47,0.11,NONE,NORMAL
0.258,31.1,0.09,0.33,0.47,0.11,NONE,NORMAL
0.262,34.5,0.09,0.33,0.47,0.11,NONE,NORMAL
0.266,40.46,0.09,0.33,0.47,0.11,NONE,NORMAL
0.27,43.09,0.09,0.33,0.47,0.11,NONE,NORMAL
0.273,35.27,0.09,0.33,0.47,0.11,NONE,NORMAL
0.277,32.94,0.09,0.33,0.47,0.11,NONE,NORMAL
0.281,27.46,0.09,0.33,0.47,0.11,NONE,NORMAL
0.285,17.58,0.09,0.33,0.47,0.11,NONE,NORMAL
0.289,1.41,0.09,0.33,0.47,0.11,NONE,NORMAL
0.293,4.43,0.09,0.33,0.47,0.11,NONE,NORMAL
0.297,-13.97,0.09,0.33,0.47,0.11,NONE,NORMAL
0.301,-13.91,0.09,0.33,0.47,0.11,NONE,NORMAL
0.305,-29.62,0.09,0.33,0.47,0.11,NONE,NORMAL
0.309,-29.46,0.09,0.33,0.47,0.11,NONE,NORMAL
0.312,-28.02,0.09,0.33,0.47,0.11,NONE,NORMAL
0.316,-37.79,0.09,0.33,0.47,0.11,NONE,NORMAL
0.32,-38.02,0.09,0.33,0.47,0.11,NONE,NORMAL
0.324,-26.07,0.09,0.33,0.47,0.11,NONE,NORMAL
0.328,-42.34,0.09,0.33,0.47,0.11,NONE,NORMAL
0.332,-27.95,0.09,0.33,0.47,0.11,NONE,NORMAL
0.336,-27.65,0.09,0.33,0.47,0.11,NONE,NORMAL
0.34,-23.34,0.09,0.33,0.47,0.11,NONE,NORMAL
0.344,-15.73,0.09,0.33,0.47,0.11,NONE,NORMAL
0.348,7.72,0.09,0.33,0.47,0.11,NONE,NORMAL
0.352,3.17,0.09,0.33,0.47,0.11,NONE,NORMAL
0.355,14.42,0.09,0.33,0.47,0.11,NONE,NORMAL
0.359,18.41,0.09,0.33,0.47,0.11,NONE,NORMAL
0.363,33.85,0.09,0.33,0.47,0.11,NONE,NORMAL
0.367,28.68,0.09,0.33,0.47,0.11,NONE,NORMAL
0.371,33.5,0.09,0.33,0.47,0.11,NONE,NORMAL
0.375,41.31,0.09,0.33,0.47,0.11,NONE,NORMAL
0.379,36.11,0.09,0.33,0.47,0.11,NONE,NORMAL
0.383,43.46,0.09,0.33,0.47,0.11,NONE,NORMAL
0.387,46.04,0.09,0.33,0.47,0.11,NONE,NORMAL
0.391,54.53,0.09,0.33,0.47,0.11,NONE,NORMAL
0.395,44.33,0.09,0.33,0.47,0.11,NONE,NORMAL
0.398,41.36,0.09,0.33,0.47,0.11,NONE,NORMAL
0.402,49.14,0.09,0.33,0.47,0.11,NONE,NORMAL
0.406,36.27,0.09,0.33,0.47,0.11,NONE,NORMAL
0.41,39.46,0.09,0.33,0.47,0.11,NONE,NORMAL
0.414,30.82,0.09,0.33,0.47,0.11,NONE,NORMAL
0.418,15.24,0.09,0.33,0.47,0.11,NONE,NORMAL
0.422,8.85,0.09,0.33,0.47,0.11,NONE,NORMAL
0.426,-11.63,0.09,0.33,0.47,0.11,NONE,NORMAL
0.43,-30.05,0.09,0.33,0.47,0.11,NONE,NORMAL
0.434,-34.75,0.09,0.33,0.47,0.11,NONE,NORMAL
0.438,-59.4,0.09,0.33,0.47,0.11,NONE,NORMAL
0.441,-55.99,0.09,0.33,0.47,0.11,NONE,NORMAL
0.445,-72.27,0.09,0.33,0.47,0.11,NONE,NORMAL
0.449,-84.28,0.09,0.33,0.47,0.11,NONE,NORMAL
0.453,-89.8,0.09,0.33,0.47,0.11,NONE,NORMAL
0.457,-99.4,0.09,0.33,0.47,0.11,NONE,NORMAL
0.461,-97.8,0.09,0.33,0.47,0.11,NONE,NORMAL
0.465,-91.47,0.09,0.33,0.47,0.11,NONE,NORMAL
0.469,-83.86,0.09,0.33,0.47,0.11,NONE,NORMAL
0.473,-77.2,0.09,0.33,0.47,0.11,NONE,NORMAL
0.477,-59.82,0.09,0.33,0.47,0.11,NONE,NORMAL
0.48,-51.57,0.09,0.33,0.47,0.11,NONE,NORMAL
0.484,-30.95,0.09,0.33,0.47,0.11,NONE,NORMAL
0.488,-11.22,0.09,0.33,0.47,0.11,NONE,NORMAL
0.492,-0.05,0.09,0.33,0.47,0.11,NONE,NORMAL
0.496,29.74,0.09,0.33,0.47,0.11,NONE,NORMAL
0.5,44.76,0.09,0.33,0.47,0.11,NONE,NORMAL
0.504,55.19,0.09,0.33,0.47,0.11,NONE,NORMAL
0.508,78.4,0.09,0.33,0.47,0.11,NONE,NORMAL
0.512,88.36,0.09,0.33,0.47,0.11,NONE,NORMAL
0.516,98.28,0.09,0.33,0.47,0.11,NONE,NORMAL
0.52,92.01,0.09,0.33,0.47,0.11,NONE,NORMAL
0.523,93.47,0.09,0.33,0.47,0.11,NONE,NORMAL
0.527,84.38,0.09,0.33,0.47,0.11,NONE,NORMAL
0.531,88.64,0.09,0.33,0.47,0.11,NONE,NORMAL
0.535,81.03,0.09,0.33,0.47,0.11,NONE,NORMAL
0.539,58.24,0.09,0.33,0.47,0.11,NONE,NORMAL
0.543,61.48,0.09,0.33,0.47,0.11,NONE,NORMAL
0.547,46.4,0.09,0.33,0.47,0.11,NONE,NORMAL
0.551,31.29,0.09,0.33,0.47,0.11,NONE,NORMAL
0.555,13.97,0.09,0.33,0.47,0.11,NONE,NORMAL
0.559,6.1,0.09,0.33,0.47,0.11,NONE,NORMAL
0.562,-7.39,0.09,0.33,0.47,0.11,NONE,NORMAL
0.566,-20.36,0.09,0.33,0.47,0.11,NONE,NORMAL
0.57,-39.55,0.09,0.33,0.47,0.11,NONE,NORMAL
0.574,-36.6,0.09,0.33,0.47,0.11,NONE,NORMAL
0.578,-42.37,0.09,0.33,0.47,0.11,NONE,NORMAL
0.582,-45.15,0.09,0.33,0.47,0.11,NONE,NORMAL
0.586,-50.57,0.09,0.33,0.47,0.11,NONE,NORMAL
0.59,-44.92,0.09,0.33,0.47,0.11,NONE,NORMAL
0.594,-48.93,0.09,0.33,0.47,0.11,NONE,NORMAL
0.598,-51.4,0.09,0.33,0.47,0.11,NONE,NORMAL
0.602,-37.02,0.09,0.33,0.47,0.11,NONE,NORMAL
0.605,-40.96,0.09,0.33,0.47,0.11,NONE,NORMAL
0.609,-33.57,0.09,0.33,0.47,0.11,NONE,NORMAL
0.613,-38.3,0.09,0.33,0.47,0.11,NONE,NORMAL
0.617,-28.59,0.09,0.33,0.47,0.11,NONE,NORMAL
0.621,-20.13,0.09,0.33,0.47,0.11,NONE,NORMAL
0.625,-20.03,0.09,0.33,0.47,0.11,NONE,NORMAL
0.629,-14.81,0.09,0.33,0.47,0.11,NONE,NORMAL
0.633,-6.01,0.09,0.33,0.47,0.11,NONE,NORMAL
0.637,5.25,0.09,0.33,0.47,0.11,NONE,NORMAL
0.641,14.53,0.09,0.33,0.47,0.11,NONE,NORMAL
0.645,30.7,0.09,0.33,0.47,0.11,NONE,NORMAL
0.648,33.24,0.09,0.33,0.47,0.11,NONE,NORMAL
0.652,26.6,0.09,0.33,0.47,0.11,NONE,NORMAL
0.656,44.18,0.09,0.33,0.47,0.11,NONE,NORMAL
0.66,42.23,0.09,0.33,0.47,0.11,NONE,NORMAL
0.664,39.4,0.09,0.33,0.47,0.11,NONE,NORMAL
0.668,38.01,0.09,0.33,0.47,0.11,NONE,NORMAL
0.672,39.82,0.09,0.33,0.47,0.11,NONE,NORMAL
0.676,32.2,0.09,0.33,0.47,0.11,NONE,NORMAL
0.68,17.61,0.09,0.33,0.47,0.11,NONE,NORMAL
0.684,5.2,0.09,0.33,0.47,0.11,NONE,NORMAL
0.688,4.39,0.09,0.33,0.47,0.11,NONE,NORMAL
0.691,-11.25,0.09,0.33,0.47,0.11,NONE,NORMAL
0.695,-17.64,0.09,0.33,0.47,0.11,NONE,NORMAL
0.699,-25.23,0.09,0.33,0.47,0.11,NONE,NORMAL
0.703,-25.36,0.09,0.33,0.47,0.11,NONE,NORMAL
0.707,-35.35,0.09,0.33,0.47,0.11,NONE,NORMAL
0.711,-30.93,0.09,0.33,0.47,0.11,NONE,NORMAL
0.715,-40.72,0.09,0.33,0.47,0.11,NONE,NORMAL
0.719,-30.06,0.09,0.33,0.47,0.11,NONE,NORMAL
0.723,-28.44,0.09,0.33,0.47,0.11,NONE,NORMAL
0.727,-19.82,0.09,0.33,0.47,0.11,NONE,NORMAL
0.73,-4.44,0.09,0.33,0.47,0.11,NONE,NORMAL
0.734,-3.68,0.09,0.33,0.47,0.11,NONE,NORMAL
0.738,7.59,0.09,0.33,0.47,0.11,NONE,NORMAL
0.742,16.1,0.09,0.33,0.47,0.11,NONE,NORMAL
0.746,22.77,0.09,0.33,0.47,0.11,NONE,NORMAL
0.75,23.79,0.09,0.33,0.47,0.11,NONE,NORMAL
0.754,30.35,0.09,0.33,0.47,0.11,NONE,NORMAL
0.758,32.02,0.09,0.33,0.47,0.11,NONE,NORMAL
0.762,38.33,0.09,0.33,0.47,0.11,NONE,NORMAL
0.766,31.41,0.09,0.33,0.47,0.11,NONE,NORMAL
0.77,36.88,0.09,0.33,0.47,0.11,NONE,NORMAL
0.773,22.74,0.09,0.33,0.47,0.11,NONE,NORMAL
0.777,27.93,0.09,0.33,0.47,0.11,NONE,NORMAL
0.781,8.07,0.09,0.33,0.47,0.11,NONE,NORMAL
0.785,-1.18,0.09,0.33,0.47,0.11,NONE,NORMAL
0.789,-18.35,0.09,0.33,0.47,0.11,NONE,NORMAL
0.793,-27.29,0.09,0.33,0.47,0.11,NONE,NORMAL
0.797,-25.93,0.09,0.33,0.47,0.11,NONE,NORMAL
0.801,-24.96,0.09,0.33,0.47,0.11,NONE,NORMAL
0.805,-29.38,0.09,0.33,0.47,0.11,NONE,NORMAL
0.809,-36.45,0.09,0.33,0.47,0.11,NONE,NORMAL
0.812,-35.38,0.09,0.33,0.47,0.11,NONE,NORMAL
0.816,-30.44,0.09,0.33,0.47,0.11,NONE,NORMAL
0.82,-41.37,0.09,0.33,0.47,0.11,NONE,NORMAL
0.824,-22.24,0.09,0.33,0.47,0.11,NONE,NORMAL
0.828,-21.91,0.09,0.33,0.47,0.11,NONE,NORMAL
0.832,-14.15,0.09,0.33,0.47,0.11,NONE,NORMAL
0.836,-5.02,0.09,0.33,0.47,0.11,NONE,NORMAL
0.84,-1.72,0.09,0.33,0.47,0.11,NONE,NORMAL
0.844,4.72,0.09,0.33,0.47,0.11,NONE,NORMAL
0.848,11.2,0.09,0.33,0.47,0.11,NONE,NORMAL
0.852,24.82,0.09,0.33,0.47,0.11,NONE,NORMAL
0.855,25.07,0.09,0.33,0.47,0.11,NONE,NORMAL
0.859,37.88,0.09,0.33,0.47,0.11,NONE,NORMAL
0.863,44.29,0.09,0.33,0.47,0.11,NONE,NORMAL
0.867,44.71,0.09,0.33,0.47,0.11,NONE,NORMAL
0.871,52.76,0.09,0.33,0.47,0.11,NONE,NORMAL
0.875,54.35,0.09,0.33,0.47,0.11,NONE,NORMAL
0.879,53.17,0.09,0.33,0.47,0.11,NONE,NORMAL
0.883,49.25,0.09,0.33,0.47,0.11,NONE,NORMAL
0.887,45.7,0.09,0.33,0.47,0.11,NONE,NORMAL
0.891,45.18,0.09,0.33,0.47,0.11,NONE,NORMAL
0.895,40.22,0.09,0.33,0.47,0.11,NONE,NORMAL
0.898,43.7,0.09,0.33,0.47,0.11,NONE,NORMAL
0.902,32.75,0.09,0.33,0.47,0.11,NONE,NORMAL
0.906,14.71,0.09,0.33,0.47,0.11,NONE,NORMAL
0.91,0.96,0.09,0.33,0.47,0.11,NONE,NORMAL
0.914,2.42,0.09,0.33,0.47,0.11,NONE,NORMAL
0.918,-5.84,0.09,0.33,0.47,0.11,NONE,NORMAL
0.922,-35.03,0.09,0.33,0.47,0.11,NONE,NORMAL
0.926,-43.43,0.09,0.33,0.47,0.11,NONE,NORMAL
0.93,-51.67,0.09,0.33,0.47,0.11,NONE,NORMAL
0.934,-68.27,0.09,0.33,0.47,0.11,NONE,NORMAL
0.938,-86.15,0.09,0.33,0.47,0.11,NONE,NORMAL
0.941,-87.68,0.09,0.33,0.47,0.11,NONE,NORMAL
0.945,-90.2,0.09,0.33,0.47,0.11,NONE,NORMAL
0.949,-101.91,0.09,0.33,0.47,0.11,NONE,NORMAL
0.953,-103.65,0.09,0.33,0.47,0.11,NONE,NORMAL
0.957,-94.76,0.09,0.33,0.47,0.11,NONE,NORMAL
0.961,-92.4,0.09,0.33,0.47,0.11,NONE,NORMAL
0.965,-77.78,0.09,0.33,0.47,0.11,NONE,NORMAL
0.969,-63.86,0.09,0.33,0.47,0.11,NONE,NORMAL
0.973,-56.22,0.09,0.33,0.47,0.11,NONE,NORMAL
0.977,-29.92,0.09,0.33,0.47,0.11,NONE,NORMAL
0.98,-3.52,0.09,0.33,0.47,0.11,NONE,NORMAL
0.984,17.9,0.09,0.33,0.47,0.11,NONE,NORMAL
0.988,39.5,0.09,0.33,0.47,0.11,NONE,NORMAL
0.992,57.61,0.09,0.33,0.47,0.11,NONE,NORMAL
0.996,74.43,0.09,0.33,0.47,0.11,NONE,NORMAL
1.0,77.03,0.09,0.33,0.47,0.11,NONE,NORMAL
1.004,87.29,0.09,0.33,0.47,0.11,NONE,NORMAL
1.008,95.38,0.09,0.33,0.47,0.11,NONE,NORMAL
1.012,99.86,0.09,0.33,0.47,0.11,NONE,NORMAL
1.016,95.69,0.09,0.33,0.47,0.11,NONE,NORMAL
1.02,88.69,0.09,0.33,0.47,0.11,NONE,NORMAL
1.023,82.1,0.09,0.33,0.47,0.11,NONE,NORMAL
1.027,75.21,0.09,0.33,0.47,0.11,NONE,NORMAL
1.031,70.6,0.09,0.33,0.47,0.11,NONE,NORMAL
1.035,50.63,0.09,0.33,0.47,0.11,NONE,NORMAL
1.039,41.26,0.09,0.33,0.47,0.11,NONE,NORMAL
1.043,19.34,0.09,0.33,0.47,0.11,NONE,NORMAL
1.047,7.99,0.09,0.33,0.47,0.11,NONE,NORMAL
1.051,1.64,0.09,0.33,0.47,0.11,NONE,NORMAL
1.055,-11.29,0.09,0.33,0.47,0.11,NONE,NORMAL
1.059,-27.41,0.09,0.33,0.47,0.11,NONE,NORMAL
1.062,-32.87,0.09,0.33,0.47,0.11,NONE,NORMAL
1.066,-26.64,0.09,0.33,0.47,0.11,NONE,NORMAL
1.07,-42.59,0.09,0.33,0.47,0.11,NONE,NORMAL
1.074,-50.31,0.09,0.33,0.47,0.11,NONE,NORMAL
1.078,-47.98,0.09,0.33,0.47,0.11,NONE,NORMAL
1.082,-54.31,0.09,0.33,0.47,0.11,NONE,NORMAL
1.086,-50.32,0.09,0.33,0.47,0.11,NONE,NORMAL
1.09,-47.61,0.09,0.33,0.47,0.11,NONE,NORMAL
1.094,-45.81,0.09,0.33,0.47,0.11,NONE,NORMAL
1.098,-36.52,0.09,0.33,0.47,0.11,NONE,NORMAL
1.102,-42.38,0.09,0.33,0.47,0.11,NONE,NORMAL
1.105,-26.81,0.09,0.33,0.47,0.11,NONE,NORMAL
1.109,-32.73,0.09,0.33,0.47,0.11,NONE,NORMAL
1.113,-21.21,0.09,0.33,0.47,0.11,NONE,NORMAL
1.117,-22.73,0.09,0.33,0.47,0.11,NONE,NORMAL
1.121,-4.27,0.09,0.33,0.47,0.11,NONE,NORMAL
1.125,0.6,0.09,0.33,0.47,0.11,NONE,NORMAL
1.129,20.12,0.09,0.33,0.47,0.11,NONE,NORMAL
1.133,15.74,0.09,0.33,0.47,0.11,NONE,NORMAL
1.137,31.34,0.09,0.33,0.47,0.11,NONE,NORMAL
1.141,35.39,0.09,0.33,0.47,0.11,NONE,NORMAL
1.145,23.0,0.09,0.33,0.47,0.11,NONE,NORMAL
1.148,38.95,0.09,0.33,0.47,0.11,NONE,NORMAL
1.152,33.22,0.09,0.33,0.47,0.11,NONE,NORMAL
1.156,45.01,0.09,0.33,0.47,0.11,NONE,NORMAL
1.16,36.61,0.09,0.33,0.47,0.11,NONE,NORMAL
1.164,24.58,0.09,0.33,0.47,0.11,NONE,NORMAL
1.168,20.96,0.09,0.33,0.47,0.11,NONE,NORMAL
1.172,10.02,0.09,0.33,0.47,0.11,NONE,NORMAL
1.176,9.65,0.09,0.33,0.47,0.11,NONE,NORMAL
1.18,-5.65,0.09,0.33,0.47,0.11,NONE,NORMAL
1.184,-12.63,0.09,0.33,0.47,0.11,NONE,NORMAL
1.188,-11.24,0.09,0.33,0.47,0.11,NONE,NORMAL
1.191,-24.95,0.09,0.33,0.47,0.11,NONE,NORMAL
1.195,-32.63,0.09,0.33,0.47,0.11,NONE,NORMAL
1.199,-43.8,0.09,0.33,0.47,0.11,NONE,NORMAL
1.203,-37.22,0.09,0.33,0.47,0.11,NONE,NORMAL
1.207,-38.93,0.09,0.33,0.47,0.11,NONE,NORMAL
1.211,-33.92,0.09,0.33,0.47,0.11,NONE,NORMAL
1.215,-34.01,0.09,0.33,0.47,0.11,NONE,NORMAL
1.219,-13.08,0.09,0.33,0.47,0.11,NONE,NORMAL
1.223,-12.92,0.09,0.33,0.47,0.11,NONE,NORMAL
1.227,-3.98,0.09,0.33,0.47,0.11,NONE,NORMAL
1.23,3.61,0.09,0.33,0.47,0.11,NONE,NORMAL
1.234,12.38,0.09,0.33,0.47,0.11,NONE,NORMAL
1.238,23.51,0.09,0.33,0.47,0.11,NONE,NORMAL
1.242,24.49,0.09,0.33,0.47,0.11,NONE,NORMAL
1.246,38.8,0.09,0.33,0.47,0.11,NONE,NORMAL
1.25,31.37,0.09,0.33,0.47,0.11,NONE,NORMAL
1.254,37.53,0.09,0.33,0.47,0.11,NONE,NORMAL
1.258,26.84,0.09,0.33,0.47,0.11,NONE,NORMAL
1.262,27.93,0.09,0.33,0.47,0.11,NONE,NORMAL
1.266,29.36,0.09,0.33,0.47,0.11,NONE,NORMAL
1.27,12.18,0.09,0.33,0.47,0.11,NONE,NORMAL
1.273,8.89,0.09,0.33,0.47,0.11,NONE,NORMAL
1.277,-13.67,0.09,0.33,0.47,0.11,NONE,NORMAL
1.281,-7.96,0.09,0.33,0.47,0.11,NONE,NORMAL
1.285,-17.06,0.09,0.33,0.47,0.11,NONE,NORMAL
1.289,-38.13,0.09,0.33,0.47,0.11,NONE,NORMAL
1.293,-27.93,0.09,0.33,0.47,0.11,NONE,NORMAL
1.297,-31.41,0.09,0.33,0.47,0.11,NONE,NORMAL
1.301,-28.34,0.09,0.33,0.47,0.11,NONE,NORMAL
1.305,-41.02,0.09,0.33,0.47,0.11,NONE,NORMAL
1.309,-35.61,0.09,0.33,0.47,0.11,NONE,NORMAL
1.312,-26.67,0.09,0.33,0.47,0.11,NONE,NORMAL
1.316,-36.1,0.09,0.33,0.47,0.11,NONE,NORMAL
1.32,-28.39,0.09,0.33,0.47,0.11,NONE,NORMAL
1.324,-18.57,0.09,0.33,0.47,0.11,NONE,NORMAL
1.328,0.56,0.09,0.33,0.47,0.11,NONE,NORMAL
1.332,-6.85,0.09,0.33,0.47,0.11,NONE,NORMAL
1.336,9.39,0.09,0.33,0.47,0.11,NONE,NORMAL
1.34,17.85,0.09,0.33,0.47,0.11,NONE,NORMAL
1.344,32.05,0.09,0.33,0.47,0.11,NONE,NORMAL
1.348,31.47,0.09,0.33,0.47,0.11,NONE,NORMAL
1.352,38.34,0.09,0.33,0.47,0.11,NONE,NORMAL
1.355,41.14,0.09,0.33,0.47,0.11,NONE,NORMAL
1.359,36.65,0.09,0.33,0.47,0.11,NONE,NORMAL
1.363,46.45,0.09,0.33,0.47,0.11,NONE,NORMAL
1.367,48.04,0.09,0.33,0.47,0.11,NONE,NORMAL
1.371,49.28,0.09,0.33,0.47,0.11,NONE,NORMAL
1.375,56.3,0.09,0.33,0.47,0.11,NONE,NORMAL
1.379,48.18,0.09,0.33,0.47,0.11,NONE,NORMAL
1.383,46.37,0.09,0.33,0.47,0.11,NONE,NORMAL
1.387,42.75,0.09,0.33,0.47,0.11,NONE,NORMAL
1.391,41.35,0.09,0.33,0.47,0.11,NONE,NORMAL
1.395,40.89,0.09,0.33,0.47,0.11,NONE,NORMAL
1.398,18.99,0.09,0.33,0.47,0.11,NONE,NORMAL
1.402,4.24,0.09,0.33,0.47,0.11,NONE,NORMAL
1.406,-11.13,0.09,0.33,0.47,0.11,NONE,NORMAL
1.41,-20.56,0.09,0.33,0.47,0.11,NONE,NORMAL
1.414,-33.04,0.09,0.33,0.47,0.11,NONE,NORMAL
1.418,-45.06,0.09,0.33,0.47,0.11,NONE,NORMAL
1.422,-53.92,0.09,0.33,0.47,0.11,NONE,NORMAL
1.426,-74.03,0.09,0.33,0.47,0.11,NONE,NORMAL
1.43,-77.56,0.09,0.33,0.47,0.11,NONE,NORMAL
1.434,-101.38,0.09,0.33,0.47,0.11,NONE,NORMAL
1.438,-92.47,0.09,0.33,0.47,0.11,NONE,NORMAL
1.441,-94.11,0.09,0.33,0.47,0.11,NONE,NORMAL
1.445,-99.44,0.09,0.33,0.47,0.11,NONE,NORMAL
1.449,-89.67,0.09,0.33,0.47,0.11,NONE,NORMAL
1.453,-87.16,0.09,0.33,0.47,0.11,NONE,NORMAL
1.457,-73.59,0.09,0.33,0.47,0.11,NONE,NORMAL
1.461,-63.21,0.09,0.33,0.47,0.11,NONE,NORMAL
1.465,-38.28,0.09,0.33,0.47,0.11,NONE,NORMAL
1.469,-19.31,0.09,0.33,0.47,0.11,NONE,NORMAL
1.473,2.3,0.09,0.33,0.47,0.11,NONE,NORMAL
1.477,26.28,0.09,0.33,0.47,0.11,NONE,NORMAL
1.48,39.01,0.09,0.33,0.47,0.11,NONE,NORMAL
1.484,59.78,0.09,0.33,0.47,0.11,NONE,NORMAL
1.488,70.17,0.09,0.33,0.47,0.11,NONE,NORMAL
1.492,83.08,0.09,0.33,0.47,0.11,NONE,NORMAL
1.496,99.02,0.09,0.33,0.47,0.11,NONE,NORMAL
1.5,93.25,0.09,0.33,0.47,0.11,NONE,NORMAL
1.504,100.02,0.09,0.33,0.47,0.11,NONE,NORMAL
1.508,96.4,0.09,0.33,0.47,0.11,NONE,NORMAL
1.512,84.78,0.09,0.33,0.47,0.11,NONE,NORMAL
1.516,80.04,0.09,0.33,0.47,0.11,NONE,NORMAL
1.52,72.99,0.09,0.33,0.47,0.11,NONE,NORMAL
1.523,63.66,0.09,0.33,0.47,0.11,NONE,NORMAL
1.527,46.76,0.09,0.33,0.47,0.11,NONE,NORMAL
1.531,30.93,0.09,0.33,0.47,0.11,NONE,NORMAL
1.535,29.47,0.09,0.33,0.47,0.11,NONE,NORMAL
1.539,6.12,0.09,0.33,0.47,0.11,NONE,NORMAL
1.543,-11.25,0.09,0.33,0.47,0.11,NONE,NORMAL
1.547,-7.81,0.09,0.33,0.47,0.11,NONE,NORMAL
1.551,-25.47,0.09,0.33,0.47,0.11,NONE,NORMAL
1.555,-36.29,0.09,0.33,0.47,0.11,NONE,NORMAL
1.559,-47.19,0.09,0.33,0.47,0.11,NONE,NORMAL
1.562,-43.42,0.09,0.33,0.47,0.11,NONE,NORMAL
1.566,-52.02,0.09,0.33,0.47,0.11,NONE,NORMAL
1.57,-37.9,0.09,0.33,0.47,0.11,NONE,NORMAL
