time,amplitude,theta_power,alpha_power,beta_power,gamma_power,command,visual_impairment,motor_impairment,attention_deficit
0.172,26.0,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.176,24.24,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.18,34.4,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.184,26.61,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.188,42.46,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.191,27.51,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.195,27.09,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.199,21.17,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.203,8.28,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.207,-0.06,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.211,-2.16,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.215,-7.06,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.219,-10.31,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.223,-16.77,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.227,-17.86,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.23,-4.58,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.234,-11.73,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.238,-0.39,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.242,-2.47,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.246,4.69,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.25,7.19,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.254,11.29,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.258,-3.9,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.262,3.52,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.266,-1.9,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.27,6.87,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.273,2.5,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.277,2.84,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.281,-11.0,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.285,-11.17,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.289,-9.76,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.293,-18.49,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.297,-31.19,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.301,-17.73,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.305,-25.4,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.309,-30.5,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.312,-30.19,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.316,-26.44,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.32,-24.12,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.324,-14.39,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.328,-14.82,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.332,-10.55,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.336,6.09,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.34,16.26,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.344,19.75,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.348,29.57,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.352,36.64,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.355,49.39,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.359,52.35,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.363,49.04,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.367,59.09,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.371,57.78,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.375,59.07,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.379,36.85,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.383,47.65,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.387,41.27,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.391,41.63,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.395,41.86,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.398,35.55,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.402,24.0,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.406,24.72,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.41,10.39,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.414,-2.81,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.418,-3.74,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.422,-19.09,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.426,-31.1,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.43,-42.46,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.434,-48.13,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.438,-70.64,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.441,-72.76,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.445,-73.11,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.449,-85.47,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.453,-93.16,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.457,-100.96,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.461,-90.52,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.465,-85.61,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.469,-82.29,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.473,-82.2,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.477,-58.87,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.48,-48.45,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.484,-33.88,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.488,-11.35,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.492,16.19,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.496,28.01,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.5,39.71,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.504,51.97,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.508,65.19,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.512,74.36,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.516,81.6,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.52,86.09,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.523,99.26,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.527,94.82,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.531,85.58,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.535,86.95,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.539,79.16,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.543,65.41,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.547,54.26,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.551,45.62,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.555,28.67,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.559,24.58,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.562,13.55,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.566,5.43,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.57,-5.85,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.574,-19.96,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.578,-24.13,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.582,-35.72,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.586,-33.61,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.59,-38.32,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.594,-51.72,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.598,-46.93,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.602,-43.83,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.605,-41.09,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.609,-60.46,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.613,-53.77,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.617,-44.27,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.621,-40.8,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.625,-39.91,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.629,-36.16,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.633,-35.73,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.637,-22.62,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.641,-15.16,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.645,-5.08,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.648,-6.53,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.652,14.43,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.656,12.08,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.66,15.75,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.664,27.26,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.668,21.12,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.672,23.3,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.676,26.94,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.68,36.78,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.684,25.78,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.688,16.73,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.691,12.32,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.695,14.19,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.699,4.74,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.703,-1.14,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.707,-2.86,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.711,-10.7,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.715,-5.85,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.719,-13.73,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.723,-4.73,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.727,-5.47,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.73,5.81,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.734,6.68,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.738,-0.89,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.742,4.05,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.746,11.85,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.75,13.43,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.754,8.0,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.758,3.0,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.762,3.48,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.766,3.12,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.77,-3.54,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.773,-2.94,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.777,-8.7,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.781,-8.63,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.785,-32.72,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.789,-21.63,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.793,-23.19,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.797,-26.52,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.801,-31.24,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.805,-28.04,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.809,-25.73,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.812,-20.49,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.816,-14.99,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.82,-5.67,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.824,-0.66,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.828,6.43,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.832,10.13,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.836,32.6,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.84,24.15,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.844,37.96,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.848,37.02,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.852,51.43,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.855,46.88,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.859,47.24,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.863,41.97,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.867,42.73,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.871,44.88,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.875,44.6,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.879,42.54,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.883,23.11,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.887,31.25,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.891,33.51,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.895,32.38,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.898,18.18,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.902,4.17,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.906,1.71,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.91,-11.06,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.914,-17.51,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.918,-40.57,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.922,-42.59,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.926,-41.31,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.93,-63.73,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.934,-64.73,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.938,-80.57,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.941,-88.71,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.945,-88.1,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.949,-88.36,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.953,-89.81,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.957,-91.21,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.961,-72.68,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.965,-67.07,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.969,-58.57,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.973,-31.72,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.977,-22.8,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.98,-3.23,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.984,12.97,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.988,33.8,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.992,51.61,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.996,54.44,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
1.0,80.08,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
1.004,90.63,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
1.008,84.5,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
1.012,93.8,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
1.016,88.58,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
1.02,96.5,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
1.023,84.83,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
1.027,80.87,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
1.031,74.89,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
1.035,58.33,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
1.039,51.0,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
1.043,43.28,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
1.047,33.7,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
1.051,7.9,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
1.055,10.76,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
1.059,-2.98,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
1.062,-12.09,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
1.066,-18.61,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
1.07,-21.34,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
1.074,-31.28,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
1.078,-33.34,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
1.082,-46.03,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
1.086,-44.73,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
1.09,-46.99,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
1.094,-52.58,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
1.098,-52.76,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
1.102,-52.76,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
1.105,-43.08,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
1.109,-46.18,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
1.113,-43.23,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
